correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[0, 1.0];224;0;1.0;True;0
1;False;(0, 0);[0, 1.0];234;0;1.0;True;1
1;False;(0, 0);[0, 1.0];180;0;1.0;True;2
1;False;(0, 0);[0, 1.0];235;0;1.0;True;3
1;False;(0, 0);[0, 1.0];145;0;1.0;True;4
1;False;(0, 0);[0, 1.0];199;0;1.0;True;5
1;False;(0, 0);[0, 1.0];172;0;1.0;True;6
1;False;(0, 0);[0, 1.0];248;0;1.0;True;7
1;False;(0, 0);[0, 1.0];211;0;1.0;True;8
1;False;(0, 0);[0, 1.0];234;0;1.0;True;9
1;True;(0, 1);[1.0, 0];430;0;1.0;True;0
1;True;(0, 1);[1.0, 0];527;0;1.0;True;1
1;True;(0, 1);[1.0, 0];467;0;1.0;True;2
1;True;(0, 1);[1.0, 2.0879679116459336e-14];453;0;1.0;True;3
1;True;(0, 1);[1.0, 0];566;0;1.0;True;4
1;True;(0, 1);[1.0, 0];503;0;1.0;True;5
1;True;(0, 1);[1.0, 1.626111044617819e-14];323;0;1.0;True;6
1;True;(0, 1);[1.0, 0];462;0;1.0;True;7
1;True;(0, 1);[1.0, 0];495;0;1.0;True;8
1;True;(0, 1);[1.0, 0];467;0;1.0;True;9
1;False;(0, 2);[0, 1.0];243;0;1.0;True;0
1;False;(0, 2);[0, 1.0];317;0;1.0;True;1
1;False;(0, 2);[0, 1.0];239;0;1.0;True;2
1;False;(0, 2);[0, 1.0];238;0;1.0;True;3
1;False;(0, 2);[0, 1.0];275;0;1.0;True;4
1;False;(0, 2);[0, 1.0];256;0;1.0;True;5
1;False;(0, 2);[0, 1.0];256;0;1.0;True;6
1;False;(0, 2);[0, 1.0];333;0;1.0;True;7
1;False;(0, 2);[0, 1.0];220;0;1.0;True;8
1;False;(0, 2);[0, 1.0];253;0;1.0;True;9
1;False;(0, 3);[0, 1.0];184;0;1.0;True;0
1;False;(0, 3);[0, 1.0];227;0;1.0;True;1
1;False;(0, 3);[0, 1.0];208;0;1.0;True;2
1;False;(0, 3);[0, 1.0];146;0;1.0;True;3
1;False;(0, 3);[0, 1.0];223;0;1.0;True;4
1;False;(0, 3);[0, 1.0];192;0;1.0;True;5
1;False;(0, 3);[0, 1.0];149;0;1.0;True;6
1;False;(0, 3);[0, 1.0];177;0;1.0;True;7
1;False;(0, 3);[0, 1.0];170;0;1.0;True;8
1;False;(0, 3);[0, 1.0];229;0;1.0;True;9
