correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[6.604460278296309e-05, 0.9998195497023271];768;0;1.0;True;0
1;(0, 0);False;[8.473148577157306e-05, 0.9989773965659465];528;0;1.0;True;1
1;(0, 0);False;[0.00012337238346335827, 0.9996967043746694];440;0;1.0;True;2
1;(0, 0);False;[5.8274764431782785e-05, 0.9996584628664176];1154;0;1.0;True;3
1;(0, 0);False;[0.00010883432518293052, 0.9993168017980121];381;0;1.0;True;4
1;(0, 0);False;[0.00010882633345381051, 0.9992429984244252];509;0;1.0;True;5
1;(0, 0);False;[7.476707339981017e-05, 0.9988677224067267];449;0;1.0;True;6
1;(0, 0);False;[0.00015837309531803012, 0.999443483270214];389;0;1.0;True;7
1;(0, 0);False;[0.0001233043964146564, 0.9991454043248554];495;0;1.0;True;8
1;(0, 0);False;[0.00010880744624496454, 0.9990693655094497];415;0;1.0;True;9
1;(0, 1);True;[0.9992634718133789, 0.0004877357896359425];953;0;1.0;True;0
1;(0, 1);True;[0.9978494500007631, 0.0006253788575666786];396;0;1.0;True;1
1;(0, 1);True;[0.9990022610189988, 0.0006261015245809576];330;0;1.0;True;2
1;(0, 1);True;[0.9992904932132508, 0.00048774904633732774];960;0;1.0;True;3
1;(0, 1);True;[0.9986860159546571, 0.0004874539955678992];445;0;1.0;True;4
1;(0, 1);True;[0.9985131707670255, 0.000552262140648591];411;0;1.0;True;5
1;(0, 1);True;[0.9972462402053914, 0.0008025169760031089];448;0;1.0;True;6
1;(0, 1);True;[0.9993702564970769, 0.00037988958931924895];1103;0;1.0;True;7
1;(0, 1);True;[0.9989415892357025, 0.00048757859728177657];502;0;1.0;True;8
1;(0, 1);True;[0.9985476398573514, 0.0007091429713410241];415;0;1.0;True;9
1;(0, 2);False;[3.5349139393205796e-05, 0.9997637830023131];1475;0;1.0;True;0
1;(0, 2);False;[7.480316164590033e-05, 0.9993494216053961];408;0;1.0;True;1
1;(0, 2);False;[3.53304681182336e-05, 0.9992353806507548];370;0;1.0;True;2
1;(0, 2);False;[5.139984130175265e-05, 0.9991246977620586];370;0;1.0;True;3
1;(0, 2);False;[4.53685937370547e-05, 0.9993097781077176];431;0;1.0;True;4
1;(0, 2);False;[3.11986597203408e-05, 0.9998648349398721];1099;0;1.0;True;5
1;(0, 2);False;[6.593799226194255e-05, 0.9982062624279602];443;0;1.0;True;6
1;(0, 2);False;[8.47309201297687e-05, 0.9989708535263434];400;0;1.0;True;7
1;(0, 2);False;[4.00376816304601e-05, 0.9993103733357659];489;0;1.0;True;8
1;(0, 2);False;[4.0034627114289375e-05, 0.9992345474639182];450;0;1.0;True;9
1;(0, 3);False;[4.004096549526768e-05, 0.9993926401360812];454;0;1.0;True;0
1;(0, 3);False;[5.139993933926318e-05, 0.9991263637787653];512;0;1.0;True;1
1;(0, 3);False;[3.5338555546138395e-05, 0.9994643221591121];371;0;1.0;True;2
1;(0, 3);False;[3.1192352645519084e-05, 0.999662036708117];432;0;1.0;True;3
1;(0, 3);False;[3.53304007307778e-05, 0.999233119153552];442;0;1.0;True;4
1;(0, 3);False;[3.532719997467503e-05, 0.9991426671844037];473;0;1.0;True;5
1;(0, 3);False;[5.1381119565504126e-05, 0.9987612828532979];695;0;1.0;True;6
1;(0, 3);False;[3.534226290260194e-05, 0.9995690058329068];379;0;1.0;True;7
1;(0, 3);False;[3.53304681182336e-05, 0.9992358567744486];595;0;1.0;True;8
1;(0, 3);False;[5.141258774617609e-05, 0.9993726377300043];391;0;1.0;True;9
2;(1, 0);True;[0.92309284017772, 0.07577207677390281];1031;0;0.3;False;0
2;(1, 0);False;[0.00023047347132737616, 0.9996252272858542];1954;0;0.7;True;1
2;(1, 0);False;[0.0004877332313666251, 0.999258115374121];1223;0;0.7;True;2
2;(1, 0);False;[0.0013244915522365316, 0.9982748044225751];1029;0;0.7;True;3
2;(1, 0);True;[0.8662062385313758, 0.1328370388879796];741;0;0.3;False;4
2;(1, 0);False;[9.607609486527504e-05, 0.9996304685933483];866;0;0.7;True;5
2;(1, 0);True;[0.7545419489816996, 0.2449639200632738];1039;0;0.3;False;6
2;(1, 0);False;[0.13293072251676802, 0.8668172099832203];1379;0;0.7;True;7
2;(1, 0);False;[0.00043047971640874157, 0.999390020756833];1209;0;0.7;True;8
2;(1, 0);False;[9.604778681749864e-05, 0.9993354924221848];920;0;0.7;True;9
2;(1, 1);False;[9.602324160792976e-05, 0.9990799554907208];1404;0;0.9;True;0
2;(1, 1);False;[0.0002958513969877185, 0.9993465643092847];1106;0;0.9;True;1
2;(1, 1);False;[0.00012335108937095482, 0.9995239855784952];819;0;0.9;True;2
2;(1, 1);False;[0.003593186046321217, 0.9962909026202962];2632;0;0.9;True;3
2;(1, 1);False;[0.0002959131933881803, 0.9995559042795387];1121;0;0.9;True;4
2;(1, 1);False;[5.827859924303664e-05, 0.999724464070056];1096;0;0.9;True;5
2;(1, 1);False;[0.0001584140314594633, 0.9997015890012473];1089;0;0.9;True;6
2;(1, 1);False;[0.0004878037049639595, 0.9994027607145949];1736;0;0.9;True;7
2;(1, 1);False;[0.00013980962504806283, 0.9997712896958857];2391;0;0.9;True;8
2;(1, 1);True;[0.8165051268760469, 0.18218692243666304];875;0;0.1;False;9
2;(1, 2);False;[0.00012335097173424506, 0.999523271012565];1084;0;0.9;False;0
2;(1, 2);False;[0.00012333191606839704, 0.9993688278182149];858;0;0.9;False;1
2;(1, 2);False;[7.482306755529595e-05, 0.9996153404248426];1236;0;0.9;False;2
2;(1, 2);False;[0.00013978309432878782, 0.9995817503996552];1115;0;0.9;False;3
2;(1, 2);False;[0.0004877871904353114, 0.999368708742345];1732;0;0.9;False;4
2;(1, 2);False;[0.0002033756378057098, 0.9995447086781382];1025;0;0.9;False;5
2;(1, 2);False;[0.29408775425090244, 0.7054798269058197];1487;0;0.9;False;6
2;(1, 2);True;[0.9851210301391262, 0.01405199631836196];620;0;0.1;True;7
2;(1, 2);False;[9.602360790822562e-05, 0.9990842391314458];805;0;0.9;False;8
2;(1, 2);False;[0.0001583859339284271, 0.9995247001740262];1061;0;0.9;False;9
2;(1, 3);False;[0.00012336379479596285, 0.9996270140875114];1288;0;0.9;True;0
2;(1, 3);True;[0.73044774518446, 0.26871669228663575];949;0;0.1;False;1
2;(1, 3);False;[7.481678841705617e-05, 0.9995314886679647];952;0;0.9;True;2
2;(1, 3);False;[0.00017948846937964187, 0.9996009274262334];966;0;0.9;True;3
2;(1, 3);False;[0.00026114023520474884, 0.9995470907049169];1011;0;0.9;True;4
2;(1, 3);False;[7.483184496113893e-05, 0.9997330424830995];1320;0;0.9;True;5
2;(1, 3);False;[0.00012335050118852798, 0.9995194599738089];784;0;0.9;True;6
2;(1, 3);False;[0.26889120351052875, 0.730922094118329];2187;0;0.9;True;7
2;(1, 3);False;[0.00012331474496565732, 0.9992300244784021];904;0;0.9;True;8
2;(1, 3);False;[8.479259731773851e-05, 0.9996974192100633];1239;0;0.9;True;9
2;(2, 0);False;[5.821205385804081e-05, 0.9985828246119042];658;0;1.0;True;0
2;(2, 0);False;[0.00010874862633579838, 0.9985293353101794];528;0;1.0;True;1
2;(2, 0);False;[9.59352784441448e-05, 0.9981645716590077];522;0;1.0;True;2
2;(2, 0);False;[7.469936580992793e-05, 0.9979627000752077];484;0;1.0;True;3
2;(2, 0);False;[7.469908085500494e-05, 0.9979596132265655];650;0;1.0;True;4
2;(2, 0);False;[0.0001794448254331248, 0.9993573982863345];792;0;1.0;True;5
2;(2, 0);False;[0.00020320774287598754, 0.998718713416762];857;0;1.0;True;6
2;(2, 0);False;[0.0001232446740267062, 0.9986618805304112];586;0;1.0;True;7
2;(2, 0);False;[8.472033524396876e-05, 0.998845837974096];664;0;1.0;True;8
2;(2, 0);False;[0.00012327735316639576, 0.9989270766676797];850;0;1.0;True;9
