id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;690;1;stop;1.0;True;False;185;[0, 0.9999996423722521]
(0, 0);1;538;1;stop;1.0;True;False;297;[0, 0.9999996423722521]
(0, 0);2;352;1;stop;1.0;True;False;406;[0, 0.9999992847447459]
(0, 0);3;646;1;stop;1.0;True;False;260;[0, 0.9999988079084972]
(0, 0);4;695;1;stop;1.0;True;False;392;[0, 0.9999973774024795]
(0, 0);5;616;1;stop;1.0;True;False;289;[0, 0.999998927117538]
(0, 0);6;293;1;stop;1.0;True;False;282;[0, 0.9999997615814777]
(0, 0);7;552;1;stop;1.0;True;False;589;[0, 0.9999994039539004]
(0, 0);8;769;1;stop;1.0;True;False;244;[0, 0.9999974966112362]
(0, 0);9;444;1;stop;1.0;True;False;368;[0, 0.9999992847447459]
(0, 1);0;636;1;stop;1.0;True;True;389;[0.9999991655356624, 5.043471815847051e-07]
(0, 1);1;551;1;stop;1.0;True;True;119;[0.9999972581939645, 1.7603412757721762e-06]
(0, 1);2;711;1;stop;1.0;True;True;356;[0.9999972581939645, 1.7603412757721762e-06]
(0, 1);3;792;1;stop;1.0;True;True;362;[0.9999995231630692, 1.4449802461092448e-07]
(0, 1);4;475;1;stop;1.0;True;True;241;[0.9999990463265931, 5.043471815847051e-07]
(0, 1);5;596;1;stop;1.0;True;True;243;[0.9999982118638471, 3.9278560536830205e-07]
(0, 1);6;741;1;stop;1.0;True;True;316;[0.9999983310727032, 1.067701973552941e-06]
(0, 1);7;664;1;stop;1.0;True;True;186;[0.9999995231630692, 2.382369667501818e-07]
(0, 1);8;748;1;stop;1.0;True;True;304;[0.9999992847447459, 2.3823673954981372e-07]
(0, 1);9;523;1;stop;1.0;True;True;225;[0.9999986886995842, 8.315279260963632e-07]
(0, 2);0;555;1;stop;1.0;True;False;274;[0, 0.9999985694905718]
(0, 2);1;679;1;stop;1.0;True;False;621;[0, 0.9999973774024795]
(0, 2);2;508;1;stop;1.0;True;False;451;[0, 0.9999982118638471]
(0, 2);3;601;1;stop;1.0;True;False;204;[0, 0.9999982118638471]
(0, 2);4;913;1;stop;1.0;True;False;429;[0, 0.9999996423722521]
(0, 2);5;621;1;stop;1.0;True;False;364;[0, 0.9999973774024795]
(0, 2);6;585;1;stop;1.0;True;False;290;[0, 0.9999958276922101]
(0, 2);7;382;1;stop;1.0;True;False;187;[0, 0.9999991655356624]
(0, 2);8;661;1;stop;1.0;True;False;270;[0, 0.9999945164027223]
(0, 2);9;665;1;stop;1.0;True;False;314;[0, 0.999997854237364]
(0, 3);0;805;1;stop;1.0;True;False;189;[0, 0.9999995231630692]
(0, 3);1;828;1;stop;1.0;True;False;201;[0, 0.9999992847447459]
(0, 3);2;524;1;stop;1.0;True;False;177;[0, 0.9999991655356624]
(0, 3);3;602;1;stop;1.0;True;False;468;[0, 0.9999990463265931]
(0, 3);4;426;1;stop;1.0;True;False;336;[0, 0.9999996423722521]
(0, 3);5;612;1;stop;1.0;True;False;294;[0, 0.9999971389852362]
(0, 3);6;609;1;stop;1.0;True;False;134;[0, 0.9999976158197796]
(0, 3);7;585;1;stop;1.0;True;False;332;[0, 0.9999997615814777]
(0, 3);8;902;1;stop;1.0;True;False;415;[0, 0.9999994039539004]
(0, 3);9;807;1;stop;1.0;True;False;390;[0, 0.999997854237364]
(1, 0);0;338;1;stop;1.0;True;False;276;[0, 0.9999976158197796]
(1, 0);1;249;1;stop;1.0;True;False;258;[0, 0.9999994039539004]
(1, 0);2;288;1;stop;1.0;True;False;136;[0, 0.9999997615814777]
(1, 0);3;338;1;stop;1.0;True;False;146;[0, 0.9999998807907247]
(1, 0);4;202;1;stop;1.0;True;False;127;[0, 0.9999992847447459]
(1, 0);5;294;1;stop;1.0;True;False;360;[0, 0.9999979734461775]
(1, 0);6;440;1;stop;1.0;True;False;452;[0, 0.9999988079084972]
(1, 0);7;267;1;stop;1.0;True;False;161;[0, 0.9999985694905718]
(1, 0);8;390;1;stop;1.0;True;False;445;[0, 0.9999966621509202]
(1, 0);9;385;1;stop;1.0;True;False;424;[0, 0.999998927117538]
(1, 1);0;337;1;stop;1.0;True;True;315;[0.9999988079084972, 1.1253496007565217e-07]
(1, 1);1;490;1;stop;1.0;True;True;624;[0.9999995231630692, 1.4449802461092448e-07]
(1, 1);2;495;1;stop;1.0;True;True;304;[0.9999942779868433, 6.47591512025264e-07]
(1, 1);3;391;1;stop;1.0;True;True;308;[0.9999994039539004, 3.059020287707785e-07]
(1, 1);4;324;1;stop;1.0;True;True;303;[0.9999994039539004, 1.8553895931777327e-07]
(1, 1);5;504;1;stop;1.0;True;True;271;[0.9999988079084972, 1.8553895931777327e-07]
(1, 1);6;417;1;stop;1.0;True;True;399;[0.9999983310727032, 3.0590173704000945e-07]
(1, 1);7;439;1;stop;1.0;True;True;238;[0.9999990463265931, 2.1024318473456359e-07]
(1, 1);8;425;1;stop;1.0;True;True;355;[0.9999997615814777, 1.1253517471925912e-07]
(1, 1);9;412;1;stop;1.0;True;True;268;[0.9999996423722521, 2.382369667501818e-07]
(1, 2);0;485;1;stop;1.0;True;False;427;[0, 0.9999974966112362]
(1, 2);1;521;1;stop;1.0;True;False;219;[0, 0.9999988079084972]
(1, 2);2;377;1;stop;1.0;True;False;373;[0, 0.9999979734461775]
(1, 2);3;358;1;stop;1.0;True;False;459;[0, 0.9999979734461775]
(1, 2);4;387;1;stop;1.0;True;False;387;[0, 0.9999990463265931]
(1, 2);5;395;1;stop;1.0;True;False;506;[0, 0.9999990463265931]
(1, 2);6;362;1;stop;1.0;True;False;295;[0, 0.9999990463265931]
(1, 2);7;384;1;stop;1.0;True;False;173;[0, 0.999998927117538]
(1, 2);8;405;1;stop;1.0;True;False;403;[0, 0.9999986886995842]
(1, 2);9;452;1;stop;1.0;True;False;281;[0, 0.9999986886995842]
(1, 3);0;617;1;stop;1.0;True;False;391;[0, 0.9999963045256735]
(1, 3);1;556;1;stop;1.0;True;False;257;[0, 0.9999982118638471]
(1, 3);2;470;1;stop;1.0;True;False;215;[0, 0.9999994039539004]
(1, 3);3;558;1;stop;1.0;True;False;384;[0, 0.9999990463265931]
(1, 3);4;599;1;stop;1.0;True;False;663;[0, 0.9999994039539004]
(1, 3);5;303;1;stop;1.0;True;False;280;[0, 0.9999985694905718]
(1, 3);6;471;1;stop;1.0;True;False;262;[0, 0.999998927117538]
(1, 3);7;776;1;stop;1.0;True;False;138;[0, 0.9999994039539004]
(1, 3);8;391;1;stop;1.0;True;False;233;[0, 0.9999990463265931]
(1, 3);9;390;1;stop;1.0;True;False;306;[0, 0.9999982118638471]
(2, 0);0;460;3;stop;1.0;True;False;280;[0, 0.9999996423722521]
(2, 0);1;539;3;stop;1.0;True;False;409;[0, 0.9999997615814777]
(2, 0);2;570;3;stop;1.0;True;False;296;[0, 0.9999997615814777]
(2, 0);3;728;3;stop;1.0;True;False;175;[0, 0.9999996423722521]
(2, 0);4;674;3;stop;1.0;True;False;365;[0, 0.9999997615814777]
(2, 0);5;654;3;stop;1.0;True;False;400;[0, 0.9999977350285647]
(2, 0);6;597;3;stop;1.0;True;False;269;[0, 0.9999983310727032]
(2, 0);7;619;3;stop;1.0;True;False;284;[0, 0.9999986886995842]
(2, 0);8;517;3;stop;1.0;True;False;534;[0, 0.9999997615814777]
(2, 0);9;440;3;stop;1.0;True;False;105;[0, 0.9999973774024795]
(2, 1);0;714;3;stop;1.0;True;False;350;[0, 0.9999991655356624]
(2, 1);1;644;3;stop;1.0;True;False;288;[0, 0.9999994039539004]
(2, 1);2;663;3;stop;1.0;True;False;172;[0, 0.999998927117538]
(2, 1);3;726;3;stop;1.0;True;False;420;[0, 0.9999982118638471]
(2, 1);4;830;3;stop;1.0;True;False;300;[0, 0.9999985694905718]
(2, 1);5;626;3;stop;1.0;True;False;191;[0, 0.9999996423722521]
(2, 1);6;625;3;stop;1.0;True;False;538;[0, 0.9999997615814777]
(2, 1);7;748;3;stop;1.0;True;False;331;[0, 0.9999992847447459]
(2, 1);8;761;3;stop;1.0;True;False;136;[0, 0.9999997615814777]
(2, 1);9;614;3;stop;1.0;True;False;269;[0, 0.9999992847447459]
(2, 2);0;532;3;stop;1.0;True;False;165;[0, 0.9999995231630692]
(2, 2);1;629;3;stop;1.0;True;False;674;[0, 0.9999954700677164]
(2, 2);2;395;3;stop;1.0;True;False;291;[0, 0.9999992847447459]
(2, 2);3;588;3;stop;1.0;True;False;342;[0, 0.9999994039539004]
(2, 2);4;506;3;stop;1.0;True;False;212;[0, 0.9999995231630692]
(2, 2);5;864;3;stop;1.0;True;False;408;[0, 0.999998927117538]
(2, 2);6;503;3;stop;1.0;True;False;440;[0, 0.9999941587791524]
(2, 2);7;544;3;stop;1.0;True;False;348;[0, 0.9999997615814777]
(2, 2);8;639;3;stop;1.0;True;False;311;[0, 0.9999996423722521]
(2, 2);9;505;3;stop;1.0;True;False;298;[0, 0.9999991655356624]
(2, 3);0;603;3;stop;1.0;True;True;211;[0.9999995231630692, 1.4449802461092448e-07]
(2, 3);1;626;3;stop;1.0;True;True;273;[0.9999997615814777, 6.82560337633487e-08]
(2, 3);2;696;3;stop;1.0;True;True;340;[0.9999994039539004, 1.4449788680693535e-07]
(2, 3);3;721;3;stop;1.0;True;True;519;[0.9999996423722521, 4.139937718785167e-08]
(2, 3);4;782;3;stop;1.0;True;True;261;[0.9999992847447459, 1.8553895931777327e-07]
(2, 3);5;854;3;stop;1.0;True;True;440;[0.9999995231630692, 1.1253517471925912e-07]
(2, 3);6;492;3;stop;1.0;True;True;284;[0.9999995231630692, 1.8553913626159784e-07]
(2, 3);7;578;3;stop;1.0;True;True;546;[0.9999995231630692, 1.8553913626159784e-07]
(2, 3);8;618;3;stop;1.0;True;True;207;[0.9999994039539004, 2.3823673954981372e-07]
(2, 3);9;556;3;stop;1.0;True;True;424;[0.9999997615814777, 8.764248219443636e-08]
(3, 0);0;256;0;stop;1.0;True;True;261;[0.9999977350285647, 1.7603429545652396e-06]
(3, 0);1;379;0;stop;1.0;True;True;161;[0.9999977350285647, 1.7603429545652396e-06]
(3, 0);2;1;0;stop;1.0;True;True;299;[0.9999973774024795, 2.260322940135999e-06]
(3, 0);3;535;0;stop;1.0;True;True;159;[0.9999983310727032, 1.370956471489639e-06]
(3, 0);4;491;0;stop;1.0;True;True;190;[0.9999990463265931, 5.043471815847051e-07]
(3, 0);5;377;0;stop;1.0;True;True;261;[0.9999985694905718, 6.47594599989589e-07]
(3, 0);6;442;0;stop;1.0;True;True;253;[0.9999994039539004, 2.3823673954981372e-07]
(3, 0);7;366;0;stop;1.0;True;True;399;[0.9999991655356624, 8.764248219443636e-08]
(3, 0);8;427;0;stop;1.0;True;True;235;[0.999998927117538, 8.315279260963632e-07]
(3, 0);9;270;0;stop;1.0;True;True;174;[0.999998927117538, 6.47594599989589e-07]
(3, 1);0;547;0;stop;1.0;True;False;367;[0, 0.9999995231630692]
(3, 1);1;669;0;stop;1.0;True;False;174;[0, 0.9999994039539004]
(3, 1);2;501;0;stop;1.0;True;False;468;[0, 0.9999988079084972]
(3, 1);3;697;0;stop;1.0;True;False;403;[0, 0.9999986886995842]
(3, 1);4;774;0;stop;1.0;True;False;203;[0, 0.9999976158197796]
(3, 1);5;520;0;stop;1.0;True;False;347;[0, 0.9999982118638471]
(3, 1);6;484;0;stop;1.0;True;False;341;[8.152005165739432e-09, 0.9999985694905718]
(3, 1);7;502;0;stop;1.0;True;False;214;[0, 0.9999973774024795]
(3, 1);8;404;0;stop;1.0;True;False;156;[0, 0.9999986886995842]
(3, 1);9;631;0;stop;1.0;True;False;318;[0, 0.9999982118638471]
(3, 2);0;512;0;stop;1.0;True;False;460;[0, 0.9999985694905718]
(3, 2);1;661;0;stop;1.0;True;False;197;[0, 0.9999990463265931]
(3, 2);2;568;0;stop;1.0;True;False;239;[0, 0.9999996423722521]
(3, 2);3;432;0;stop;1.0;True;False;359;[0, 0.9999979734461775]
(3, 2);4;508;0;stop;1.0;True;False;272;[0, 0.9999997615814777]
(3, 2);5;341;0;stop;1.0;True;False;208;[0, 0.9999997615814777]
(3, 2);6;643;0;stop;1.0;True;False;273;[0, 0.9999996423722521]
(3, 2);7;440;0;stop;1.0;True;False;283;[0, 0.9999973774024795]
(3, 2);8;447;0;stop;1.0;True;False;207;[0, 0.999997854237364]
(3, 2);9;556;0;stop;1.0;True;False;162;[0, 0.9999997615814777]
(3, 3);0;400;0;stop;1.0;True;False;279;[0, 0.9999994039539004]
(3, 3);1;475;0;stop;1.0;True;False;212;[0, 0.9999990463265931]
(3, 3);2;454;0;stop;1.0;True;False;409;[0, 0.9999997615814777]
(3, 3);3;290;0;stop;1.0;True;False;278;[0, 0.9999995231630692]
(3, 3);4;556;0;stop;1.0;True;False;196;[0, 0.9999996423722521]
(3, 3);5;686;0;stop;1.0;True;False;465;[0, 0.9999995231630692]
(3, 3);6;508;0;stop;1.0;True;False;189;[0, 0.9999996423722521]
(3, 3);7;445;0;stop;1.0;True;False;285;[0, 0.9999995231630692]
(3, 3);8;551;0;stop;1.0;True;False;198;[0, 0.9999996423722521]
(3, 3);9;620;0;stop;1.0;True;False;199;[0, 0.9999995231630692]
(4, 0);0;642;2;stop;1.0;True;False;277;[0, 0.9999984502816872]
(4, 0);1;938;2;stop;1.0;True;False;344;[0, 0.9999976158197796]
(4, 0);2;514;2;stop;1.0;True;False;246;[0, 0.9999970197767496]
