id;attn_entropy;internal_confidence;internal_confidence_examples;max_prob;mink_entropy;pd_entropy;ppl
0;-2.702605594865244;0.8522445914531009;0.879436890887541;-13.80231898938247;-151512.3701303723;-599.5622063599565;-23.466891602628824
1;-1.5585496699187344;0.864381788679104;0.8679154043101499;-11.618252496623763;-19673.49863048813;-252.87100240475667;-6.08740234108789
2;-1.6277207767445658;0.8568587997659749;0.8690987790234055;-14.150625683650688;-44908.551724015946;-312.36413366374603;-9.164602104742842
3;-1.3556300657503544;0.8612121450549362;0.8669243759576659;-14.237637060640317;-24393.595401319195;-329.78614336425323;-4.7729640406981995
4;-1.6527302347076454;0.855960317178709;0.8679765085275419;-12.946652879324752;-90819.01003359264;-386.61920914069935;-6.532516716489028
5;-1.777986732079809;0.8451577165113493;0.8557201774888185;-13.139024771972208;-122876.4145497341;-331.2510252152939;-9.23648353169641
6;-1.8114587733449337;0.8613250027656426;0.8748486006160039;-13.339695467434359;-96085.43769569838;-300.13318869093814;-9.08715321572481
7;-1.841120426863496;0.8654940992629214;0.8701210062210666;-15.026094421004586;-251038.5584073649;-350.6048686422179;-9.19829513954152
8;-1.7055817122968358;0.8668806463716224;0.8694140545216906;-13.16979643063896;-45957.98650351885;-313.42874056431276;-8.195199814528628
9;-0.8386928442962477;0.8631329620972099;0.8687865026545947;-13.80231898938247;-74394.62482099744;-424.4649580068375;-3.3744487287932037
10;-1.50399629213235;0.8804518163583004;0.8844721517590098;-13.745160575542522;-85205.33416916302;-387.0554677500022;-7.429575655759337
11;-1.4533257032745897;0.8574118239635948;0.8630828334607277;-11.935051967646272;-58407.77997326431;-338.8935740915823;-6.124303906745056
12;-1.4728899061701177;0.8517159438762516;0.8591676604316492;-13.416656508570487;-253408.299656752;-561.4033743910329;-4.756222771141271
13;-1.3224869479568908;0.8529792898614311;0.8597744395334403;-11.618252496623763;-17366.01297680037;-323.94492196432884;-5.404398371261153
14;-2.093683606555266;0.8559251108313211;0.8634234698404172;-14.556090791758852;-221902.7834711977;-634.7599678508901;-11.708440042687105
15;-1.1853654757116054;0.8616156629425602;0.8712588308116278;-12.291726911585004;-35611.01688882827;-251.7265347550989;-4.775596317638724
16;-1.668713343285598;0.855977930011979;0.8670848108045415;-11.899333885044191;-72518.81442972874;-367.4140120957555;-7.788063541266577
17;-1.460964793504152;0.8606388825938006;0.8747201712270543;-18.420680743952367;-616758.8685290081;-768.2392275323665;-5.37118544773501
18;-1.5681894385893893;0.8556249261278231;0.8606101791195121;-12.921960266734379;-39121.66628274536;-306.95750356472377;-7.534234695473206
19;-0.9783495449615995;0.8513660504572017;0.863716089021467;-13.691093354272247;-150435.90428399865;-291.0197222524488;-3.3452810625885054
20;-1.630229672407095;0.8721140552731664;0.88171674629454;-11.618252496623763;-24699.049262454995;-312.25002364075857;-8.017822082966187
21;-1.31877770691493;0.8645093108080908;0.8665016638691474;-16.635532333438686;-200191.47270197922;-474.99030519585534;-5.030972387280936
22;-1.7414858763754186;0.8521077782675737;0.8563346674885683;-14.237637060640317;-172476.89516291238;-535.4694873469717;-10.91882957503446
23;-1.4915318661261376;0.852421111682422;0.8564198795368914;-13.109171808822525;-179652.8643997673;-437.3423786742103;-6.185822073896475
24;-1.5259007663027038;0.8534771241285579;0.8606327427392676;-11.618252496623763;-36812.938262522264;-384.46991518761047;-5.320718373778816
25;-2.0479877265416224;0.8677050715392801;0.8768203956573077;-12.97197068730904;-168906.07108279524;-485.89746572306854;-11.780959159055344
26;-0.8112285031107065;0.8508293057592105;0.8614622501190501;-13.139024771972208;-75829.36272190153;-1024.0683226096144;-2.6871547951353723
27;-1.4433956338495468;0.877416404362043;0.8874660589471743;-14.070582975977151;-198749.6216581565;-558.897134781856;-8.306468938748822
28;-1.2584209736136287;0.8579347577980041;0.8631219092922513;-11.618252496623763;-21978.90878264468;-270.72256469061836;-5.058617384241029
29;-1.4018178878028908;0.8774879037926502;0.8811987916129735;-11.618252496623763;-11042.88606053749;-242.6089898359529;-5.728125939642043
30;-2.3593622616411087;0.8488124749069229;0.8435842032576867;-14.237637060640317;-337772.3195401432;-845.8890449542147;-10.215140705973553
31;-1.8095489634465174;0.8751939585400543;0.8862672609248594;-13.862943611198906;-103038.28008004521;-524.3375007623317;-8.213450336663334
32;-1.7618568705589026;0.8651763085429961;0.8689500281099019;-15.942385152878742;-248521.11758502002;-353.8031849609907;-9.002797031366876
33;-1.364153129053599;0.8721008053604182;0.8798961073011815;-11.618252496623763;-19644.063989101345;-257.4291599732508;-5.693847557601494
34;-1.1989691771551667;0.8587154330370194;0.8613112955686165;-13.862943611198906;-192130.414207765;-476.6756241056931;-5.116398468877361
35;-2.131302181979502;0.869778925938763;0.8845921996461573;-11.618252496623763;-32595.755937043054;-368.7476400599121;-14.194587356361952
36;-1.625927125784379;0.8574279954374796;0.8658962784085903;-16.635532333438686;-148949.36057171787;-280.7933857083133;-9.286102560677701
37;-1.545406216702455;0.8478248729984724;0.853793546136834;-11.618252496623763;-11880.584321037139;-256.0649815513698;-6.572082456287631
38;-1.3156842092791596;0.855728004551872;0.8604464795731699;-11.618252496623763;-47740.594257419645;-503.3251740362945;-5.539977214688113
39;-2.0342734527441237;0.8576000863809846;0.8628650608625275;-12.41602462826258;-59521.69935104613;-483.9292131911551;-13.4875894603088
40;-1.259161921240676;0.8677904442678721;0.8726270828821855;-14.070582975977151;-24476.49499694341;-309.1436779952236;-4.55128761962099
41;-1.2523882730718718;0.8668747393094498;0.8714151071083522;-11.618252496623763;-7489.3716119707915;-228.12125872718426;-3.856769566835088
42;-1.9584339729145923;0.8709768974199816;0.8715326583426252;-12.89786271515532;-131520.39705286414;-331.87336546558925;-14.532653870925943
43;-1.779403540559191;0.8757842537564617;0.8831248764818448;-12.74371203532806;-79719.41468455124;-413.6198778053184;-9.132787903122976
44;-0.9197829712330453;0.8512827360788211;0.8636427346785858;-11.730257555000257;-93661.79162420159;-750.2212395584445;-2.775162126531978
45;-1.617149696282944;0.8612089767481388;0.8666087659123647;-15.536920044770577;-159224.74663034454;-298.41792010625966;-7.1226211033502835
46;-1.5962336946776547;0.8695367709752242;0.8756556652687866;-15.942385152878742;-300130.8452769221;-427.7065923594136;-6.220224194627873
47;-1.8847084643827918;0.8789007604799468;0.882634743217709;-13.691093354272247;-44847.64641938372;-318.1734713183716;-8.973715480626598
48;-1.3847311827366622;0.8646354399017746;0.86958776959025;-13.745160575542522;-58058.11686938695;-434.2456657580085;-5.564382574890486
49;-1.3235620421972638;0.855205258574781;0.8634159557580883;-15.249237972318797;-145625.00969321802;-305.6863005961817;-5.363383673197294
50;-0.8678728328537709;0.8579228712646688;0.8670154726500994;-14.332947240444641;-186801.2979621459;-560.3731280746399;-3.2862656662989935
51;-1.5834621125709567;0.8701100321679576;0.8744271628320851;-14.070582975977151;-206892.8774920676;-441.43829406253286;-10.46541522123524
52;-1.2493371553861314;0.873998899972788;0.8797688282210798;-15.536920044770577;-295727.9956155751;-514.4336734748666;-4.644217539619183
53;-1.2130222673589868;0.8692282076243578;0.8662934024346454;-12.874332217745126;-51401.84541685286;-391.91500376628306;-4.825700175802212
54;-1.7204852944108684;0.8537563827117085;0.8631311866596132;-13.80231898938247;-91827.5918960422;-478.543215240596;-7.797736831647213
55;-1.4095819778557104;0.8671644503135921;0.87529431643578;-12.89786271515532;-91732.8632921466;-745.2234728009726;-6.184599687856279
56;-1.939381840029385;0.8639169433458704;0.8711063087096688;-14.556090791758852;-222581.91364494787;-334.42422834001206;-13.36228088690996
57;-1.099173141141793;0.8621648015747142;0.8661462890999696;-15.249237972318797;-196100.13233738358;-339.6681662827523;-4.2176238090206954
