id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;sampled_finish_reasons;yes_no_probabilities
(0, 0);0;96;0;;1.0;True;;669;stop;[0.8863036579534693, 0.013405344061452593]
(0, 0);1;145;0;;1.0;True;;460;stop;[0.6683672543839937, 0.012829059791151405]
(0, 0);2;115;0;;1.0;True;;553;stop;[0.8243662966914387, 0.02712762308165595]
(0, 0);3;118;0;;1.0;True;;553;stop;[0.8585347242584315, 0.06317143564994288]
(0, 0);4;87;0;;1.0;True;;389;stop;[0.920163399930543, 0.060691353896346965]
(0, 0);5;25;0;;1.0;True;;722;stop;[0.7538198291212805, 0.06902912007489999]
(0, 0);6;80;0;;1.0;True;;553;stop;[0.8823382856333521, 0.016576170241307704]
(0, 0);7;125;0;;1.0;True;;1371;stop;[0.8233824432892314, 0.01436209791047513]
(0, 0);8;26;0;;1.0;True;;687;stop;[0.9787598378956403, 0.0027065131956170445]
(0, 0);9;26;0;;1.0;True;;874;stop;[0.6655123978958765, 0.10008562571025226]
(0, 1);0;198;0;;1.0;False;;1776;stop;[0.8669750649987794, 0.05350922189820894]
(0, 1);1;93;0;;1.0;False;;414;stop;[0.9306629816320983, 0.035249791393780185]
(0, 1);2;108;0;;1.0;False;;403;stop;[0.5663860202016616, 0.2870304650791195]
(0, 1);3;73;0;;1.0;False;;407;stop;[0.9535258077504443, 0.019635790633454178]
(0, 1);4;88;0;;1.0;False;;646;stop;[0.8229523062260587, 0.029511297568866165]
(0, 1);5;150;0;;1.0;False;;509;stop;[0.9762015178458128, 0.0229580592864736]
(0, 1);6;125;0;;1.0;False;;358;stop;[0.9990303391150738, 0.00018221105739005554]
(0, 1);7;103;0;;1.0;False;;494;stop;[0.8735796567783335, 0.09955640448228337]
(0, 1);8;104;0;;1.0;False;;376;stop;[0.6407672754668386, 0.07050158315104874]
(0, 1);9;179;0;;1.0;False;;756;stop;[0.8742206709614634, 0.029107299606858546]
(0, 2);0;106;0;;0.6;False;;815;stop;[0.8310424363839544, 0.016171134381731837]
(0, 2);1;233;0;;0.4;True;;504;stop;[0.1896911519274168, 0.7862479874310955]
(0, 2);2;26;0;;0.4;True;;605;stop;[0.05499020530727403, 0.9447356201399878]
(0, 2);3;86;0;;0.6;False;;369;stop;[0.9942385042915427, 0.004192205493859518]
(0, 2);4;87;0;;0.4;True;;585;stop;[0.061445237046804775, 0.9315931680240641]
(0, 2);5;113;0;;0.6;False;;731;stop;[0.8286820946391718, 0.021154821913415577]
(0, 2);6;144;0;;0.6;False;;566;stop;[0.7171813025832288, 0.03157235373883182]
(0, 2);7;84;0;;0.6;False;;336;stop;[0.467560406642058, 0.2230272982064759]
(0, 2);8;103;0;;0.6;False;;1015;stop;[0.9149372877919071, 0.025954770529163604]
(0, 2);9;245;0;;0.4;True;;691;stop;[0.006289549854695057, 0.9936542459150536]
(0, 3);0;130;0;;0.5;True;;718;stop;[0.0010987103642194232, 0.9988822331821601]
(0, 3);1;75;0;;0.5;True;;532;stop;[0.028413709482501295, 0.9708012293560714]
(0, 3);2;86;0;;0.5;False;;323;stop;[0.7972193189709775, 0.030136564786705674]
(0, 3);3;67;0;;0.5;False;;625;stop;[0.9910178098260176, 0.007108082851204423]
(0, 3);4;149;0;;0.5;False;;1463;stop;[0.7907771993653874, 0.04584930148558576]
(0, 3);5;251;0;;0.5;False;;545;stop;[0.7090951088260703, 0.033424930488369656]
(0, 3);6;109;0;;0.5;True;;1181;stop;[0.08255287024101793, 0.9157002299637639]
(0, 3);7;283;0;;0.5;False;;1303;stop;[0.5868028055936133, 0.05844277923553695]
(0, 3);8;102;0;;0.5;True;;1034;stop;[0.012052188629905317, 0.9878159357219404]
(0, 3);9;142;0;;0.5;True;;420;stop;[0.03513641649076662, 0.9646238258096339]
(1, 0);0;241;0;;1.0;True;;2081;stop;[0.9841074874149379, 0.0015265113690864315]
(1, 0);1;226;0;;1.0;True;;1061;stop;[0.95916327857855, 0.0025507147517678736]
(1, 0);2;437;0;;1.0;True;;1359;stop;[0.911835148108123, 0.0069348047943610935]
(1, 0);3;332;0;;1.0;True;;3335;stop;[0.9345312907862334, 0.007361729410228169]
(1, 0);4;449;0;;1.0;True;;1911;stop;[0.9282133021736542, 0.0015446910055528739]
(1, 0);5;119;0;;1.0;True;;1491;stop;[0.9551899463849208, 0.017909794594454707]
(1, 0);6;132;0;;1.0;True;;1039;stop;[0.8668743677472728, 0.010494291185734403]
(1, 0);7;117;0;;1.0;True;;1308;stop;[0.49611393603708015, 0.01632574174217021]
(1, 0);8;220;0;;1.0;True;;2538;stop;[0.9221581488555994, 0.022995776162267504]
(1, 0);9;209;0;;1.0;True;;1161;stop;[0.9557348439381937, 0.007212111708571631]
(1, 1);0;121;0;;0.2;False;;2311;stop;[0.3497784892922541, 0.15521326374766153]
(1, 1);1;315;0;;0.2;False;;3357;stop;[0.463173006004132, 0.07561090570646199]
(1, 1);2;494;0;;0.8;True;;2684;stop;[0.031947991814760976, 0.9632945675626803]
(1, 1);3;520;0;;0.8;True;;3378;stop;[0.29077197724342135, 0.6604040317563067]
(1, 1);4;216;0;;0.8;True;;2897;stop;[0.014497840255710298, 0.9851063379569056]
(1, 1);5;88;0;;0.8;True;;2353;stop;[0.0041322840746873665, 0.9954602329383282]
(1, 1);6;202;0;;0.8;True;;3098;stop;[0.01588486763798871, 0.982762138556513]
(1, 1);7;351;0;;0.8;True;;3461;stop;[0.22277316574639444, 0.6079303078808618]
(1, 1);8;75;0;;0.8;True;;3134;stop;[0.005910367605889837, 0.9939709628647992]
(1, 1);9;215;0;;0.8;True;;2728;stop;[0.01132882570773438, 0.9884129122819058]
(1, 2);0;162;0;;0.9;True;;2488;stop;[0.026741403671878897, 0.9725904279266047]
(1, 2);1;577;0;;0.9;True;;2457;stop;[0.1661281922235135, 0.6994258556289323]
(1, 2);2;209;0;;0.9;True;;3567;stop;[0.027111736524227024, 0.9707720210007575]
(1, 2);3;407;0;;0.9;True;;3672;stop;[0.01468143690036852, 0.9744727109023195]
(1, 2);4;295;0;;0.9;True;;1447;stop;[0.30071345266387645, 0.5216198557109617]
(1, 2);5;326;0;;0.1;False;;1168;stop;[0.3803803258880357, 0.3436449664661841]
(1, 2);6;105;0;;0.9;True;;1781;stop;[0.018537030558807413, 0.9809488925643627]
(1, 2);7;404;0;;0.9;True;;2407;stop;[0.3087632260989653, 0.3210629547419125]
(1, 2);8;277;0;;0.9;True;;2203;stop;[0.11087651241674787, 0.7956188354127772]
(1, 2);9;310;0;;0.9;True;;717;stop;[0.20673528547239828, 0.7329402327775866]
(1, 3);0;399;0;;0.9;True;;2701;stop;[0.2571586910674311, 0.5054628879800427]
(1, 3);1;177;0;;0.9;True;;2847;stop;[0.011328193690773059, 0.9883575954244435]
(1, 3);2;187;0;;0.9;True;;2969;stop;[0.03057182694880516, 0.9660386257738081]
(1, 3);3;494;0;;0.9;True;;2090;stop;[0.3303529877416214, 0.5797875150186512]
(1, 3);4;410;0;;0.9;True;;3040;stop;[0.27211079050283793, 0.6630393442544156]
(1, 3);5;572;0;;0.9;True;;2254;stop;[0.3003480269379056, 0.6308886193502998]
(1, 3);6;602;0;;0.1;False;;5541;stop;[0.4264077481181866, 0.12318616717116496]
(1, 3);7;256;0;;0.9;True;;1521;stop;[0.01588892050982797, 0.9830125055478997]
(1, 3);8;128;0;;0.9;True;;3042;stop;[0.005909319297632596, 0.9937946830407228]
(1, 3);9;288;0;;0.9;True;;3445;stop;[0.080187669344674, 0.9034716704789383]
(2, 0);0;537;2;;0.8;False;;6399;stop;[0.7958183316387555, 0.008112720680609132]
(2, 0);1;530;2;;0.8;False;;8006;stop;[0.8718594564868009, 0.03720084519715829]
(2, 0);2;94;2;;0.8;False;;3321;stop;[0.8072932862895658, 0.021682372529899966]
(2, 0);3;58;2;;0.8;False;;8063;stop;[0.632765998768318, 0.23644737885211825]
(2, 0);4;224;2;;0.8;False;;7960;stop;[0.8320541766870094, 0.015359126555041328]
(2, 0);5;139;2;;0.2;True;;8857;stop;[0.36786303989915287, 0.5436663624089132]
(2, 0);6;252;2;;0.2;True;;7166;stop;[0.007270274992002512, 0.990149973367981]
(2, 0);7;158;2;;0.8;False;;6718;stop;[0.5230393451629232, 0.0702348277782843]
(2, 0);8;414;2;;0.8;False;;5202;stop;[0.9965246523839988, 0.002712915510935306]
(2, 0);9;237;2;;0.8;False;;7197;stop;[0.7342562278281031, 0.0017918225040172207]
(2, 1);0;307;2;;0.2;False;;7845;stop;[0.7848282712940136, 0.1703953203639535]
(2, 1);1;255;2;;0.8;True;;8039;stop;[0.011499861971947993, 0.9877802256869603]
(2, 1);2;80;2;;0.8;True;;4975;stop;[0.0677523777875565, 0.6378142617934562]
(2, 1);3;160;2;;0.8;True;;7441;stop;[0.0016329836496452904, 0.9967214422654458]
(2, 1);4;199;2;;0.8;True;;7517;stop;[0.06883320489211782, 0.871964500856782]
(2, 1);5;268;2;;0.8;True;;7234;stop;[0.012610701797986536, 0.9862609509637168]
(2, 1);6;124;2;;0.8;True;;5578;stop;[0.04321083399866578, 0.9532157048500224]
(2, 1);7;101;2;;0.8;True;;5868;stop;[0.06363589145746515, 0.8124485084296735]
(2, 1);8;226;2;;0.8;True;;7850;stop;[0.11959812367610771, 0.8700165310467367]
(2, 1);9;228;2;;0.2;False;;7116;stop;[0.4972561454356127, 0.3261085418798252]
(2, 2);0;237;2;;0.9;True;;8107;stop;[0.6582769932012689, 0.014772256117228598]
(2, 2);1;97;2;;0.1;False;;7064;stop;[0.008313337684487, 0.9913931848556277]
(2, 2);2;315;2;;0.9;True;;5959;stop;[0.7753209885781668, 0.0013208524204297832]
(2, 2);3;148;2;;0.9;True;;6190;stop;[0.9158284950929652, 0.0018819884257959725]
(2, 2);4;269;2;;0.9;True;;8359;stop;[0.8138776806299639, 0.01574460495464828]
(2, 2);5;247;2;;0.9;True;;6831;stop;[0.9531885187417632, 0.008246696043726373]
(2, 2);6;40;2;;0.9;True;;7094;stop;[0.9337795899037725, 0.0560778248303373]
(2, 2);7;0;2;;0.9;True;;10240;length;[0.9777173989418418, 0.011744040360528693]
(2, 2);8;32;2;;0.9;True;;4650;stop;[0.8415738643805944, 0.0633919094509802]
(2, 2);9;57;2;;0.9;True;;7404;stop;[0.8473173650277934, 0.01616892147679769]
(2, 3);0;0;2;;0.5;True;;10240;length;[0.10514690388887223, 0.8803842080992553]
(2, 3);1;144;2;;0.5;False;;7533;stop;[0.7570692925841124, 0.01880536601095416]
(2, 3);2;97;2;;0.5;False;;7054;stop;[0.5715572281011703, 0.11794751461175128]
(2, 3);3;363;2;;0.5;True;;6500;stop;[0.00679410999910497, 0.9927023678634375]
(2, 3);4;384;2;;0.5;False;;6064;stop;[0.9586920300421591, 0.038352509883297595]
(2, 3);5;184;2;;0.5;True;;4004;stop;[0.14917927814672058, 0.5993069182683212]
(2, 3);6;173;2;;0.5;True;;9033;stop;[0.007778057502099104, 0.9835320728589791]
(2, 3);7;231;2;;0.5;True;;9269;stop;[0.18259779715694185, 0.3499101927185969]
(2, 3);8;94;2;;0.5;False;;6571;stop;[0.8825145569430743, 0.016179610989137724]
(2, 3);9;273;2;;0.5;False;;7758;stop;[0.6209909189887557, 0.2509030270897063]
(3, 0);0;241;2;;0.4;False;;9604;stop;[0.8708604854009291, 0.02702670770701889]
(3, 0);1;113;2;;0.4;False;;10126;length;[0.8207830471072319, 0.02863959253317327]
(3, 0);2;0;2;;0.4;False;;10240;length;[0.5769876325197274, 0.29469646421988144]
(3, 0);3;339;2;;0.6;True;;7412;stop;[0.03344194092687411, 0.962164818770499]
(3, 0);4;631;2;;0.6;True;;8039;stop;[0.07971058405135592, 0.9122393270106464]
(3, 0);5;0;2;;0.6;True;;10240;length;[0.04067417987566458, 0.9551262111699248]
(3, 0);6;752;2;;0.4;False;;8368;stop;[0.8711829025655704, 0.07081610456786952]
