estimations;id;iter
0.0005844692464615036;0;0
0.18225264670980973;0;1
1.5409443163661703e-05;0;2
0.12075114309959498;0;3
8.547285051835209e-06;0;4
0.14213824012824386;0;5
1.2996618507562495e-13;0;6
0.001706252065558224;0;7
0.0001697983689572539;0;8
0.38138785551751786;0;9
0.012052020323728492;1;0
7.019278558753691e-06;1;1
1.852715961219084e-06;1;2
0.057673438498194195;1;3
5.276425625342719e-05;1;4
5.201619843259328e-11;1;5
0.012897358697857941;1;6
4.276851699622898e-06;1;7
0.020049648910668055;1;8
0.002591800806670522;1;9
6.669968644889969e-11;2;0
0.0030396735247773714;2;1
4.031240412161536e-05;2;2
1.7530462113033752e-05;2;3
1.8313505749111233e-06;2;4
0.0023225972923422676;2;5
0.04120191504575935;2;6
2.0012300009653387e-12;2;7
8.005986975284971e-09;2;8
3.4696452346224125e-05;2;9
0.002028689087572432;3;0
3.092340119474536e-13;3;1
4.5034611913257576e-36;3;2
0.0011887191875054645;3;3
4.3092323072394914e-05;3;4
0.023942041203720673;3;5
2.103344042649054e-38;3;6
0.0019273437833446595;3;7
1.7336071432885373e-06;3;8
1.2848892170815385e-06;3;9
0.05855375374812166;4;0
0.001144563648462506;4;1
0.00690275481030557;4;2
0.13629684217967464;4;3
0.11550210407972325;4;4
1.7214746188418438e-06;4;5
0.03625500716188158;4;6
2.483531946466623e-05;4;7
0.0009180585335230953;4;8
3.6042037539548084e-08;4;9
0.0007324660777625347;10;0
0.0014394551607180843;10;1
9.361611666143628e-05;10;2
0.00048532915276215877;10;3
6.481288651683405e-05;10;4
4.3192144375127536e-07;10;5
0.0038770040270145177;10;6
1.1450782025853538e-07;10;7
0.001291899597017194;10;8
0.0001153265774483965;10;9
1.2639344402117816e-11;11;0
1.474739694497224e-11;11;1
8.81625538341674e-08;11;2
3.362871663373554e-07;11;3
2.5861195243344887e-05;11;4
3.9642356933941154e-08;11;5
5.457509811044396e-10;11;6
4.735098726066074e-06;11;7
4.717524502775853e-14;11;8
2.4887526183291053e-09;11;9
0.0018281434926286006;12;0
1.7191212683118725e-05;12;1
0.03101385679668839;12;2
0.0021626713282921354;12;3
7.868257380971413e-06;12;4
0.011562576133185913;12;5
3.81762475213489e-10;12;6
0.0764366606881754;12;7
3.0636801968604463e-13;12;8
1.0806052577954752e-09;12;9
0.01996321410052679;13;0
9.566182226460819e-05;13;1
0.014234691215742674;13;2
1.3644054977023696e-06;13;3
0.007185931498812968;13;4
0.00033474044413139397;13;5
0.0005872427223332276;13;6
6.065906842340635e-07;13;7
1.7987788922594115e-05;13;8
0.0011322385237484572;13;9
0.00011959542636305394;14;0
0.010360677732426327;14;1
0.011430981658284657;14;2
0.0007611162738384287;14;3
0.015781359392780275;14;4
0.03696301504938334;14;5
0.0013694133369351802;14;6
0.09091329870137317;14;7
0.03548237802627959;14;8
0.005190744852148684;14;9
0.006964768218488478;25;0
0.033864931381880556;25;1
0.37681575750619406;25;2
0.39617599116036406;25;3
0.04524584499899674;25;4
0.002648890483794247;25;5
0.0006219583259883315;25;6
0.001190792939330133;25;7
0.025684041107640578;25;8
0.0036661379706342365;25;9
2.6122354190107334e-15;26;0
0.0007737080667100206;26;1
7.815392634865398e-05;26;2
0.0002631203205500905;26;3
3.5676524076560626e-06;26;4
9.016879656755855e-05;26;5
1.0982571269229666e-08;26;6
6.678500629488826e-10;26;7
7.948257949722183e-09;26;8
0.03467737188124752;26;9
8.145853847967392e-08;27;0
0.0015929296702471237;27;1
6.53417466252075e-05;27;2
0.0038171822796116794;27;3
4.3997867266859e-14;27;4
0.004319869238865743;27;5
7.284083084449088e-12;27;6
7.711136348347613e-07;27;7
1.0288501868255025e-20;27;8
6.373193082974663e-15;27;9
0.00016192764328406607;28;0
4.521114861363541e-08;28;1
0.021619032106518016;28;2
0.0003733366829988822;28;3
0.00038898111406580486;28;4
4.110387218877303e-05;28;5
0.07402310313427142;28;6
0.011333978115377315;28;7
7.253707900157314e-07;28;8
0.005413800104309402;28;9
4.355460972214498e-07;29;0
1.1835897164967047e-18;29;1
3.7844870799473205e-05;29;2
7.230596305478522e-06;29;3
5.528652381580858e-07;29;4
9.722956349418054e-07;29;5
3.832732138486652e-12;29;6
5.646054083163137e-10;29;7
9.838246286787958e-05;29;8
1.9355625654910654e-07;29;9
0.05380667045653916;20;0
0.11574377729332551;20;1
0.0011093966958645087;20;2
0.03138627658040505;20;3
0.004408173393862208;20;4
0.00019095586977281034;20;5
0.02307290089990345;20;6
0.10336668361270397;20;7
0.10324818378510416;20;8
0.0011237659250940724;20;9
1.2460642259100293e-05;21;0
2.5204812995682367e-05;21;1
5.05648338968324e-14;21;2
3.6150524244118024e-09;21;3
1.225087593507923e-10;21;4
4.2200456907911526e-05;21;5
5.844549713829453e-05;21;6
2.9861186415415857e-05;21;7
0.006703670195104507;21;8
1.68402979276789e-12;21;9
6.753974474615896e-17;22;0
6.683606740017709e-18;22;1
2.942673971165117e-31;22;2
3.5655037162733857e-06;22;3
5.179257309441402e-14;22;4
7.120944238208197e-19;22;5
3.6408566587336065e-09;22;6
9.6064862917082e-15;22;7
1.5702289749944474e-31;22;8
2.207048413401638e-11;22;9
0.01628806701538209;23;0
0.000213497731364812;23;1
0.0035134985058756043;23;2
9.042640800524543e-07;23;3
0.00897823239645921;23;4
6.581154426347101e-05;23;5
0.0013437547173125188;23;6
0.0008944349911534939;23;7
0.009394631864827663;23;8
0.00029281004408620947;23;9
2.1822271837419272e-05;24;0
6.268744418172967e-08;24;1
2.2579260465575996e-05;24;2
2.7877462435775435e-12;24;3
0.00043687175672191383;24;4
4.609878574787453e-10;24;5
0.000475704905197281;24;6
0.002196335231840032;24;7
2.3658768196648567e-07;24;8
0.00013864556245845555;24;9
5.710973471507572e-06;5;0
3.945101196455966e-05;5;1
3.0383443185927216e-18;5;2
7.728975247291703e-33;5;3
7.445551515467085e-13;5;4
3.476684778695329e-05;5;5
9.991725277817846e-06;5;6
0.000774468625761325;5;7
5.760737825624318e-05;5;8
0.0009824104940194982;5;9
3.759824099142758e-05;6;0
0.0007425461376941736;6;1
0.02616744474363209;6;2
0.1481822982366554;6;3
0.0002647477285055829;6;4
0.05559012168969123;6;5
0.06539406796474208;6;6
0.016695491790563628;6;7
6.181710618324234e-05;6;8
0.07842576386917732;6;9
0.00010386918036284408;7;0
0.0008957077885442698;7;1
4.072475022932606e-06;7;2
0.000945285394409764;7;3
4.174250317668901e-06;7;4
0.11414966964539655;7;5
0.003290335264658546;7;6
0.0010291468667460132;7;7
1.9695034328722916e-06;7;8
4.3696050449043725e-09;7;9
0.025239936119858628;8;0
0.0017744795194228615;8;1
1.1421732013150915e-07;8;2
