correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;True;(0, 0);[1.0, 2.543665647376923e-13];378;0;0.9;True;0
0;True;(0, 0);[1.0, 3.775134544279098e-11];525;0;0.9;True;1
0;True;(0, 0);[1.0, 1.026187963170189e-10];441;0;0.9;True;2
0;True;(0, 0);[1.0, 1.0815941557285693e-11];387;0;0.9;True;3
0;True;(0, 0);[1.0, 1.783247290814639e-11];442;0;0.9;True;4
0;True;(0, 0);[1.0, 3.775134544279098e-11];423;0;0.9;True;5
0;False;(0, 0);[4.8473687062702556e-11, 1.0];249;0;0.1;False;6
0;True;(0, 0);[1.0, 3.398267819495071e-09];221;0;0.9;True;7
0;True;(0, 0);[1.0, 1.0815941557285693e-11];607;0;0.9;True;8
0;True;(0, 0);[1.0, 3.581747930283181e-10];477;0;0.9;True;9
0;True;(0, 1);[1.0, 2.413362771833214e-12];505;0;0.5;False;0
0;True;(0, 1);[1.0, 5.384940217754036e-13];629;0;0.5;False;1
0;False;(0, 1);[9.357622968840175e-14, 1.0];302;0;0.5;True;2
0;False;(0, 1);[9.237449661970594e-09, 1.0];332;0;0.5;True;3
0;True;(0, 1);[1.0, 2.543665647376923e-13];644;0;0.5;False;4
0;False;(0, 1);[2.413362771833214e-12, 1.0];410;0;0.5;True;5
0;True;(0, 1);[1.0, 1.8795288165390832e-12];794;0;0.5;False;6
0;False;(0, 1);[5.109089028063325e-12, 1.0];561;0;0.5;True;7
0;False;(0, 1);[3.059023205018258e-07, 0.9999996423722521];371;0;0.5;True;8
0;True;(0, 1);[1.0, 1.5428112031918877e-13];702;0;0.5;False;9
0;True;(0, 2);[1.0, 5.675685232632723e-14];520;0;1.0;False;0
0;True;(0, 2);[1.0, 2.0879679116459336e-14];591;0;1.0;False;1
0;True;(0, 2);[1.0, 6.914400106940203e-13];451;0;1.0;False;2
0;True;(0, 2);[1.0, 1.626111044617819e-14];565;0;1.0;False;3
0;True;(0, 2);[1.0, 3.2661313427874473e-13];597;0;1.0;False;4
0;True;(0, 2);[1.0, 1.5428112031918877e-13];636;0;1.0;False;5
0;True;(0, 2);[1.0, 6.914400106940203e-13];549;0;1.0;False;6
0;True;(0, 2);[1.0, 0];582;0;1.0;False;7
0;True;(0, 2);[1.0, 2.543665647376923e-13];583;0;1.0;False;8
0;True;(0, 2);[1.0, 2.543665647376923e-13];578;0;1.0;False;9
0;True;(0, 3);[1.0, 0];547;0;1.0;False;0
0;True;(0, 3);[1.0, 1.2664165549094176e-14];627;0;1.0;False;1
0;True;(0, 3);[1.0, 1.9810087980489796e-13];554;0;1.0;False;2
0;True;(0, 3);[1.0, 8.878265478459658e-13];469;0;1.0;False;3
0;True;(0, 3);[1.0, 2.0879679116459336e-14];613;0;1.0;False;4
0;True;(0, 3);[1.0, 6.914400106940203e-13];492;0;1.0;False;5
0;True;(0, 3);[1.0, 1.1399918530443554e-12];618;0;1.0;False;6
0;True;(0, 3);[1.0, 9.357622968840175e-14];744;0;1.0;False;7
0;True;(0, 3);[1.0, 1.1399918530443554e-12];652;0;1.0;False;8
0;True;(0, 3);[1.0, 1.9555681087850496e-08];667;0;1.0;False;9
0;True;(1, 0);[1.0, 3.775134544279098e-11];583;0;0.9;True;0
0;True;(1, 0);[1.0, 3.775134544279098e-11];709;0;0.9;True;1
0;True;(1, 0);[1.0, 2.172439935079017e-10];644;0;0.9;True;2
0;True;(1, 0);[1.0, 7.287724095819692e-14];601;0;0.9;True;3
0;True;(1, 0);[1.0, 7.194133030325383e-09];575;0;0.9;True;4
0;True;(1, 0);[1.0, 2.172439935079017e-10];530;0;0.9;True;5
0;True;(1, 0);[1.0, 9.736200313009565e-10];744;0;0.9;True;6
0;True;(1, 0);[1.0, 2.172439935079017e-10];571;0;0.9;True;7
0;False;(1, 0);[0, 1.0];555;0;0.1;False;8
0;True;(1, 0);[1.0, 1.522997974471263e-08];614;0;0.9;True;9
0;False;(1, 1);[0, 1.0];815;0;1.0;True;0
0;False;(1, 1);[0, 1.0];757;0;1.0;True;1
0;False;(1, 1);[0, 1.0];822;0;1.0;True;2
0;False;(1, 1);[0, 1.0];696;0;1.0;True;3
0;False;(1, 1);[0, 1.0];764;0;1.0;True;4
0;False;(1, 1);[0, 1.0];757;0;1.0;True;5
0;False;(1, 1);[0, 1.0];817;0;1.0;True;6
0;False;(1, 1);[0, 1.0];748;0;1.0;True;7
0;False;(1, 1);[0, 1.0];744;0;1.0;True;8
0;False;(1, 1);[0, 1.0];758;0;1.0;True;9
0;False;(1, 2);[0, 1.0];593;0;1.0;True;0
0;False;(1, 2);[0, 1.0];666;0;1.0;True;1
0;False;(1, 2);[0, 1.0];756;0;1.0;True;2
0;False;(1, 2);[0, 1.0];881;0;1.0;True;3
0;False;(1, 2);[0, 1.0];741;0;1.0;True;4
0;False;(1, 2);[0, 1.0];780;0;1.0;True;5
0;False;(1, 2);[0, 1.0];638;0;1.0;True;6
0;False;(1, 2);[0, 1.0];753;0;1.0;True;7
0;False;(1, 2);[0, 1.0];507;0;1.0;True;8
0;False;(1, 2);[0, 1.0];526;0;1.0;True;9
0;False;(1, 3);[0, 1.0];705;0;1.0;True;0
0;False;(1, 3);[0, 1.0];720;0;1.0;True;1
0;False;(1, 3);[0, 1.0];663;0;1.0;True;2
0;False;(1, 3);[0, 1.0];786;0;1.0;True;3
0;False;(1, 3);[0, 1.0];691;0;1.0;True;4
0;False;(1, 3);[0, 1.0];755;0;1.0;True;5
0;False;(1, 3);[0, 1.0];671;0;1.0;True;6
0;False;(1, 3);[0, 1.0];683;0;1.0;True;7
0;False;(1, 3);[0, 1.0];614;0;1.0;True;8
0;False;(1, 3);[0, 1.0];698;0;1.0;True;9
2;False;(2, 0);[0, 1.0];618;0;0.9;True;0
2;False;(2, 0);[0, 1.0];675;0;0.9;True;1
2;False;(2, 0);[0, 1.0];655;0;0.9;True;2
2;False;(2, 0);[0, 1.0];585;0;0.9;True;3
2;False;(2, 0);[0, 1.0];566;0;0.9;True;4
2;False;(2, 0);[0, 1.0];573;0;0.9;True;5
2;False;(2, 0);[0, 1.0];651;0;0.9;True;6
2;True;(2, 0);[1.0, 1.5428112031918877e-13];529;0;0.1;False;7
2;False;(2, 0);[0, 1.0];609;0;0.9;True;8
2;False;(2, 0);[0, 1.0];522;0;0.9;True;9
2;False;(2, 1);[0, 1.0];773;0;1.0;True;0
2;False;(2, 1);[0, 1.0];704;0;1.0;True;1
2;False;(2, 1);[0, 1.0];675;0;1.0;True;2
2;False;(2, 1);[1.0815941557285693e-11, 1.0];965;0;1.0;True;3
2;False;(2, 1);[0, 1.0];873;0;1.0;True;4
2;False;(2, 1);[0, 1.0];741;0;1.0;True;5
2;False;(2, 1);[0, 1.0];683;0;1.0;True;6
2;False;(2, 1);[0, 1.0];804;0;1.0;True;7
2;False;(2, 1);[0, 1.0];716;0;1.0;True;8
2;False;(2, 1);[0, 1.0];607;0;1.0;True;9
2;False;(2, 2);[0, 1.0];664;0;0.7;False;0
2;False;(2, 2);[0, 1.0];674;0;0.7;False;1
