id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;414;1;stop;1.0;True;False;249;[0, 0.9999960661089133]
(0, 0);1;441;1;stop;1.0;True;False;219;[0, 0.999995112442896]
(0, 0);2;661;1;stop;1.0;True;False;284;[0, 0.9999992847447459]
(0, 0);3;479;1;stop;1.0;True;False;301;[0, 0.9999986886995842]
(0, 0);4;527;1;stop;1.0;True;False;391;[0, 0.9999960661089133]
(0, 0);5;476;1;stop;1.0;True;False;188;[0, 0.9999976158197796]
(0, 0);6;394;1;stop;1.0;True;False;167;[0, 0.9999966621509202]
(0, 0);7;365;1;stop;1.0;True;False;343;[0, 0.9999967813595916]
(0, 0);8;565;1;stop;1.0;True;False;277;[0, 0.9999960661089133]
(0, 0);9;395;1;stop;1.0;True;False;374;[0, 0.9999967813595916]
(0, 1);0;400;1;stop;1.0;True;True;152;[0.9999973774024795, 1.637372446023967e-07]
(0, 1);1;502;1;stop;1.0;True;True;301;[0.9999980926550052, 1.275188159256623e-07]
(0, 1);2;495;1;stop;1.0;True;True;84;[0.9999979734461775, 1.275188159256623e-07]
(0, 1);3;527;1;stop;1.0;True;True;73;[0.9999969005680498, 2.382362851497276e-07]
(0, 1);4;578;1;stop;1.0;True;True;187;[0.999997854237364, 9.931175369924415e-08]
(0, 1);5;547;1;stop;1.0;True;True;207;[0.9999973774024795, 7.734407154916583e-08]
(0, 1);6;460;1;stop;1.0;True;True;143;[0.9999916554191085, 1.8553754377325157e-07]
(0, 1);7;340;1;stop;1.0;True;True;241;[0.9999980926550052, 1.8553878237411744e-07]
(0, 1);8;482;1;stop;1.0;True;True;198;[0.9999967813595916, 2.382362851497276e-07]
(0, 1);9;432;1;stop;1.0;True;True;158;[0.9999976158197796, 1.275188159256623e-07]
(0, 2);0;661;1;stop;1.0;True;False;239;[0, 0.9999980926550052]
(0, 2);1;659;1;stop;1.0;True;False;150;[0, 0.9999935627400018]
(0, 2);2;624;1;stop;1.0;True;False;184;[0, 0.9999920130413283]
(0, 2);3;654;1;stop;1.0;True;False;536;[0, 0.9999961853172863]
(0, 2);4;345;1;stop;1.0;True;False;100;[0, 0.9999984502816872]
(0, 2);5;508;1;stop;1.0;True;False;388;[0, 0.9999980926550052]
(0, 2);6;594;1;stop;1.0;True;False;321;[0, 0.9999960661089133]
(0, 2);7;419;1;stop;1.0;True;False;302;[0, 0.9999959469005546]
(0, 2);8;548;1;stop;1.0;True;False;109;[0, 0.9999997615814777]
(0, 2);9;641;1;stop;1.0;True;False;335;[0, 0.9999934435319415]
(0, 3);0;407;1;stop;1.0;True;False;133;[0, 0.9999967813595916]
(0, 3);1;677;1;stop;1.0;True;False;158;[0, 0.9999783043793048]
(0, 3);2;432;1;stop;1.0;True;False;242;[0, 0.999998927117538]
(0, 3);3;547;1;stop;1.0;True;False;434;[0, 0.9999961853172863]
(0, 3);4;750;1;stop;1.0;True;False;415;[0, 0.9999936819476216]
(0, 3);5;466;1;stop;1.0;True;False;171;[0, 0.9999974966112362]
(0, 3);6;356;1;stop;1.0;True;False;140;[0, 0.999997854237364]
(0, 3);7;756;1;stop;1.0;True;False;403;[0, 0.9999916554191085]
(0, 3);8;621;1;stop;1.0;True;False;274;[0, 0.9999994039539004]
(0, 3);9;460;1;stop;1.0;True;False;112;[0, 0.9999992847447459]
(1, 0);0;545;2;stop;0.9;True;False;649;[0, 0.9999992847447459]
(1, 0);1;834;2;stop;0.9;True;False;1901;[0, 0.9999991655356624]
(1, 0);2;697;2;stop;0.9;True;False;973;[0, 0.9999996423722521]
(1, 0);3;831;2;stop;0.9;True;False;1752;[0, 0.999998927117538]
(1, 0);4;592;2;stop;0.9;True;False;2018;[0, 0.9999974966112362]
(1, 0);5;549;2;stop;0.9;True;False;1906;[0, 0.9999982118638471]
(1, 0);6;705;2;stop;0.9;True;False;1417;[0, 0.9999992847447459]
(1, 0);7;579;2;stop;0.9;True;False;1119;[0, 0.9999995231630692]
(1, 0);8;787;2;stop;0.9;True;False;884;[0, 0.9999995231630692]
(1, 0);9;574;2;stop;0.1;False;True;972;[0.9999991655356624, 5.043471815847051e-07]
(2, 0);0;194;2;stop;1.0;True;False;171;[0, 0.9999996423722521]
(2, 0);1;647;2;stop;1.0;True;False;216;[0, 0.9999997615814777]
(2, 0);2;625;2;stop;1.0;True;False;663;[0, 0.9999997615814777]
(2, 0);3;489;2;stop;1.0;True;False;545;[0, 0.9999996423722521]
(2, 0);4;187;2;stop;1.0;True;False;172;[0, 0.9999994039539004]
(2, 0);5;383;2;stop;1.0;True;False;154;[0, 0.9999997615814777]
(2, 0);6;115;2;stop;1.0;True;False;295;[0, 0.9999995231630692]
(2, 0);7;251;2;stop;1.0;True;False;226;[0, 0.9999994039539004]
(2, 0);8;193;2;stop;1.0;True;False;192;[0, 0.9999990463265931]
(2, 0);9;522;2;stop;1.0;True;False;172;[0, 0.9999997615814777]
(2, 1);0;588;2;stop;1.0;True;False;366;[0, 0.9999974966112362]
(2, 1);1;616;2;stop;1.0;True;False;381;[0, 0.9999991655356624]
(2, 1);2;332;2;stop;1.0;True;False;361;[0, 0.9999958276922101]
(2, 1);3;492;2;stop;1.0;True;False;349;[0, 0.9999992847447459]
(2, 1);4;388;2;stop;1.0;True;False;202;[0, 0.9999996423722521]
(2, 1);5;762;2;stop;1.0;True;False;297;[0, 0.9999988079084972]
(2, 1);6;469;2;stop;1.0;True;False;180;[0, 0.9999982118638471]
(2, 1);7;324;2;stop;1.0;True;False;240;[0, 0.9999996423722521]
(2, 1);8;521;2;stop;1.0;True;False;244;[0, 0.9999997615814777]
(2, 1);9;580;2;stop;1.0;True;False;368;[0, 0.9999992847447459]
(2, 2);0;656;2;stop;1.0;True;True;262;[0.9999983310727032, 2.1024298423113373e-07]
(2, 2);1;658;2;stop;1.0;True;True;254;[0.9999976158197796, 3.0590173704000945e-07]
(2, 2);2;681;2;stop;1.0;True;True;192;[0.9999988079084972, 2.1024318473456359e-07]
(2, 2);3;595;2;stop;1.0;True;True;291;[0.9999988079084972, 2.3823673954981372e-07]
(2, 2);4;391;2;stop;1.0;True;True;165;[0.999997854237364, 9.422436845439301e-07]
(2, 2);5;658;2;stop;1.0;True;True;253;[0.9999970197767496, 2.1024278372789506e-07]
(2, 2);6;483;2;stop;1.0;True;True;343;[0.9999995231630692, 1.2751905914873347e-07]
(2, 2);7;682;2;stop;1.0;True;True;209;[0.9999985694905718, 3.059020287707785e-07]
(2, 2);8;636;2;stop;1.0;True;True;207;[0.999997854237364, 3.0590173704000945e-07]
(2, 2);9;630;2;stop;1.0;True;True;124;[0.9999996423722521, 1.1253517471925912e-07]
(2, 3);0;1044;2;stop;1.0;True;False;75;[0, 0.9999995231630692]
(2, 3);1;519;2;stop;1.0;True;False;511;[0, 0.9999997615814777]
(2, 3);2;575;2;stop;1.0;True;False;231;[0, 0.9999990463265931]
(2, 3);3;342;2;stop;1.0;True;False;248;[0, 0.9999990463265931]
(2, 3);4;404;2;stop;1.0;True;False;272;[0, 0.9999997615814777]
(2, 3);5;140;2;stop;1.0;True;False;115;[0, 0.9999995231630692]
(2, 3);6;453;2;stop;1.0;True;False;260;[0, 0.9999983310727032]
(2, 3);7;725;2;stop;1.0;True;False;246;[0, 0.9999991655356624]
(2, 3);8;405;2;stop;1.0;True;False;174;[0, 0.9999997615814777]
(2, 3);9;134;2;stop;1.0;True;False;270;[0, 0.9999988079084972]
(3, 0);0;910;0;stop;1.0;True;True;382;[0.9999945164027223, 1.0676979006009105e-06]
(3, 0);1;1024;0;stop;1.0;True;True;317;[0.9999996423722521, 6.82560337633487e-08]
(3, 0);2;294;0;stop;1.0;True;True;102;[0.9999994039539004, 4.139937718785167e-08]
