extracted_number;id;correct_answer;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
145;0;145;163;0;1.0;True;0
145;0;145;264;0;1.0;True;1
145;0;145;238;0;1.0;True;2
145;0;145;173;0;1.0;True;3
145;0;145;189;0;1.0;True;4
145;0;145;180;0;1.0;True;5
145;0;145;265;0;1.0;True;6
145;0;145;210;0;1.0;True;7
145;0;145;674;0;1.0;True;8
145;0;145;189;0;1.0;True;9
19;1;19;228;0;1.0;True;0
19;1;19;205;0;1.0;True;1
19;1;19;202;0;1.0;True;2
19;1;19;191;0;1.0;True;3
19;1;19;211;0;1.0;True;4
19;1;19;195;0;1.0;True;5
19;1;19;217;0;1.0;True;6
19;1;19;210;0;1.0;True;7
19;1;19;193;0;1.0;True;8
19;1;19;220;0;1.0;True;9
3;2;3;213;0;1.0;True;0
3;2;3;270;0;1.0;True;1
3;2;3;195;0;1.0;True;2
3;2;3;191;0;1.0;True;3
3;2;3;225;0;1.0;True;4
3;2;3;243;0;1.0;True;5
3;2;3;243;0;1.0;True;6
3;2;3;224;0;1.0;True;7
3;2;3;284;0;1.0;True;8
3;2;3;223;0;1.0;True;9
198;3;198;837;0;1.0;True;0
198;3;198;242;0;1.0;True;1
198;3;198;759;0;1.0;True;2
198;3;198;220;0;1.0;True;3
198;3;198;223;0;1.0;True;4
198;3;198;840;0;1.0;True;5
198;3;198;279;0;1.0;True;6
198;3;198;221;0;1.0;True;7
198;3;198;223;0;1.0;True;8
198;3;198;254;0;1.0;True;9
63;4;63;131;0;1.0;True;0
63;4;63;201;0;1.0;True;1
63;4;63;184;0;1.0;True;2
63;4;63;189;0;1.0;True;3
63;4;63;203;0;1.0;True;4
63;4;63;185;0;1.0;True;5
63;4;63;204;0;1.0;True;6
63;4;63;102;0;1.0;True;7
63;4;63;129;0;1.0;True;8
63;4;63;170;0;1.0;True;9
322;5;322;211;0;1.0;True;0
322;5;322;197;0;1.0;True;1
322;5;322;245;0;1.0;True;2
322;5;322;211;0;1.0;True;3
322;5;322;182;0;1.0;True;4
322;5;322;196;0;1.0;True;5
322;5;322;219;0;1.0;True;6
322;5;322;193;0;1.0;True;7
322;5;322;236;0;1.0;True;8
322;5;322;195;0;1.0;True;9
30;6;30;218;0;1.0;True;0
30;6;30;165;0;1.0;True;1
30;6;30;130;0;1.0;True;2
30;6;30;162;0;1.0;True;3
30;6;30;172;0;1.0;True;4
30;6;30;214;0;1.0;True;5
