correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[0, 1.0];502;0;1.0;True;0
1;False;(0, 0);[0, 1.0];544;0;1.0;True;1
1;False;(0, 0);[0, 1.0];525;0;1.0;True;2
1;False;(0, 0);[0, 1.0];379;0;1.0;True;3
1;False;(0, 0);[0, 1.0];501;0;1.0;True;4
1;False;(0, 0);[2.444759076612131e-17, 1.0];449;0;1.0;True;5
1;False;(0, 0);[0, 1.0];471;0;1.0;True;6
1;False;(0, 0);[1.626111044617819e-14, 1.0];467;0;1.0;True;7
1;False;(0, 0);[0, 1.0];504;0;1.0;True;8
1;False;(0, 0);[0, 1.0];369;0;1.0;True;9
1;True;(0, 1);[1.0, 3.442477108469977e-14];414;0;1.0;True;0
1;True;(0, 1);[1.0, 3.442477108469977e-14];435;0;1.0;True;1
1;True;(0, 1);[1.0, 0];324;0;1.0;True;2
1;True;(0, 1);[1.0, 2.0879679116459336e-14];364;0;1.0;True;3
1;True;(0, 1);[1.0, 4.420228103641173e-14];450;0;1.0;True;4
1;True;(0, 1);[1.0, 5.675685232632723e-14];408;0;1.0;True;5
1;True;(0, 1);[1.0, 0];469;0;1.0;True;6
1;True;(0, 1);[1.0, 0];402;0;1.0;True;7
1;True;(0, 1);[1.0, 1.2015425731771786e-13];361;0;1.0;True;8
1;True;(0, 1);[1.0, 0];460;0;1.0;True;9
1;False;(0, 2);[0, 1.0];454;0;1.0;True;0
1;False;(0, 2);[0, 1.0];474;0;1.0;True;1
1;False;(0, 2);[0, 1.0];390;0;1.0;True;2
1;False;(0, 2);[0, 1.0];378;0;1.0;True;3
1;False;(0, 2);[0, 1.0];451;0;1.0;True;4
1;False;(0, 2);[0, 1.0];550;0;1.0;True;5
1;False;(0, 2);[0, 1.0];477;0;1.0;True;6
1;False;(0, 2);[0, 1.0];403;0;1.0;True;7
1;False;(0, 2);[0, 1.0];557;0;1.0;True;8
1;False;(0, 2);[1.713908431542013e-15, 1.0];459;0;1.0;True;9
1;False;(0, 3);[0, 1.0];456;0;1.0;True;0
1;False;(0, 3);[0, 1.0];421;0;1.0;True;1
1;False;(0, 3);[0, 1.0];448;0;1.0;True;2
1;False;(0, 3);[0, 1.0];518;0;1.0;True;3
1;False;(0, 3);[0, 1.0];477;0;1.0;True;4
1;False;(0, 3);[0, 1.0];531;0;1.0;True;5
1;False;(0, 3);[0, 1.0];571;0;1.0;True;6
1;False;(0, 3);[0, 1.0];585;0;1.0;True;7
1;False;(0, 3);[0, 1.0];573;0;1.0;True;8
1;False;(0, 3);[0, 1.0];476;0;1.0;True;9
2;True;(1, 0);[0.9890130589396958, 2.483411899663056e-08];521;0;0.1;False;0
2;False;(1, 0);[0, 0.999876633606226];1180;0;0.9;True;1
2;False;(1, 0);[0, 0.9997965511486372];951;0;0.9;True;2
2;False;(1, 0);[0, 1.0];699;0;0.9;True;3
