id;iter;answer_token_len;correct_answer;extracted_number;finish_reasons;finish_reasons_post;frequency_of_answer;is_correct;reasoning_token_len
0;0;179;72.0;72;stop;stop;1.0;True;63
0;1;260;72.0;72;stop;stop;1.0;True;97
0;2;183;72.0;72;stop;stop;1.0;True;141
0;3;177;72.0;72;stop;stop;1.0;True;83
0;4;172;72.0;72;stop;stop;1.0;True;136
0;5;226;72.0;72;stop;stop;1.0;True;95
0;6;208;72.0;72;stop;stop;1.0;True;84
0;7;239;72.0;72;stop;stop;1.0;True;84
0;8;160;72.0;72;stop;stop;1.0;True;88
0;9;231;72.0;72;stop;stop;1.0;True;77
1;0;182;10.0;10.0;stop;stop;1.0;True;83
1;1;154;10.0;10.0;stop;stop;1.0;True;97
1;2;266;10.0;10.0;stop;stop;1.0;True;112
1;3;220;10.0;10.0;stop;stop;1.0;True;93
1;4;205;10.0;10.0;stop;stop;1.0;True;78
1;5;238;10.0;10.0;stop;stop;1.0;True;95
1;6;194;10.0;10;stop;stop;1.0;True;146
1;7;208;10.0;10.0;stop;stop;1.0;True;64
1;8;166;10.0;10.0;stop;stop;1.0;True;103
1;9;120;10.0;10.0;stop;stop;1.0;True;74
20;0;167;38.0;38;stop;stop;1.0;True;1381
20;1;231;38.0;38;stop;stop;1.0;True;124
20;2;253;38.0;38;stop;stop;1.0;True;143
20;3;245;38.0;38;stop;stop;1.0;True;974
20;4;223;38.0;38;stop;stop;1.0;True;158
20;5;265;38.0;38;stop;stop;1.0;True;101
20;6;148;38.0;38;stop;stop;1.0;True;746
20;7;183;38.0;38;stop;stop;1.0;True;892
20;8;338;38.0;38;stop;stop;1.0;True;103
20;9;257;38.0;38;stop;stop;1.0;True;133
21;0;278;1080.0;1080;stop;stop;1.0;True;135
21;1;316;1080.0;1080;stop;stop;1.0;True;167
21;2;245;1080.0;1080;stop;stop;1.0;True;175
21;3;193;1080.0;1080;stop;stop;1.0;True;2199
21;4;294;1080.0;1080;stop;stop;1.0;True;195
21;5;347;1080.0;1080;stop;stop;1.0;True;128
21;6;299;1080.0;1080;stop;stop;1.0;True;97
21;7;285;1080.0;1080;stop;stop;1.0;True;153
21;8;308;1080.0;1080;stop;stop;1.0;True;144
21;9;316;1080.0;1080;stop;stop;1.0;True;183
2;0;304;5.0;5;stop;stop;1.0;True;144
2;1;267;5.0;5;stop;stop;1.0;True;125
2;2;364;5.0;5;stop;stop;1.0;True;132
2;3;292;5.0;5;stop;stop;1.0;True;103
2;4;225;5.0;5;stop;stop;1.0;True;146
2;5;238;5.0;5;stop;stop;1.0;True;133
2;6;346;5.0;5.0;stop;stop;1.0;True;115
2;7;234;5.0;5.0;stop;stop;1.0;True;167
2;8;291;5.0;5;stop;stop;1.0;True;131
2;9;292;5.0;5;stop;stop;1.0;True;135
3;0;219;42.0;42;stop;stop;1.0;True;167
3;1;252;42.0;42;stop;stop;1.0;True;90
3;2;283;42.0;42;stop;stop;1.0;True;145
3;3;228;42.0;42;stop;stop;1.0;True;139
3;4;280;42.0;42;stop;stop;1.0;True;149
3;5;243;42.0;42;stop;stop;1.0;True;130
3;6;212;42.0;42;stop;stop;1.0;True;167
3;7;219;42.0;42;stop;stop;1.0;True;147
3;8;236;42.0;42;stop;stop;1.0;True;121
3;9;217;42.0;42;stop;stop;1.0;True;122
4;0;244;624.0;624;stop;stop;1.0;True;104
4;1;161;624.0;624;stop;stop;1.0;True;1991
4;2;286;624.0;624;stop;stop;1.0;True;148
4;3;267;624.0;624;stop;stop;1.0;True;133
4;4;296;624.0;624;stop;stop;1.0;True;151
4;5;231;624.0;624;stop;stop;1.0;True;2059
4;6;253;624.0;624;stop;stop;1.0;True;144
4;7;252;624.0;624;stop;stop;1.0;True;1810
4;8;241;624.0;624;stop;stop;1.0;True;110
4;9;280;624.0;624;stop;stop;1.0;True;145
22;0;271;7.0;7;stop;stop;1.0;True;111
22;1;335;7.0;7;stop;stop;1.0;True;188
22;2;300;7.0;7;stop;stop;1.0;True;136
22;3;153;7.0;7;stop;stop;1.0;True;1001
22;4;301;7.0;7;stop;stop;1.0;True;1274
22;5;148;7.0;7;stop;stop;1.0;True;1315
22;6;251;7.0;7;stop;stop;1.0;True;144
22;7;322;7.0;7;stop;stop;1.0;True;144
22;8;230;7.0;7;stop;stop;1.0;True;108
22;9;264;7.0;7;stop;stop;1.0;True;155
23;0;274;5.0;5;stop;stop;1.0;True;216
23;1;357;5.0;5;stop;stop;1.0;True;109
23;2;230;5.0;5.0;stop;stop;1.0;True;131
23;3;245;5.0;5;stop;stop;1.0;True;1630
23;4;333;5.0;5.0;stop;stop;1.0;True;186
23;5;263;5.0;5;stop;stop;1.0;True;290
23;6;300;5.0;5.0;stop;stop;1.0;True;132
