id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;101;1;stop;1.0;True;False;535;[0.04082734832499576, 0.9587230374915157]
(0, 0);1;41;1;stop;1.0;True;False;377;[0.017428204251730018, 0.981753212595554]
(0, 0);2;93;1;stop;1.0;True;False;558;[0.04206534901348414, 0.9574029912517544]
(0, 0);3;46;1;stop;1.0;True;False;272;[0.014953515489879518, 0.984807960863596]
(0, 0);4;38;1;stop;1.0;True;False;373;[0.03619392082977146, 0.9630844377077419]
(0, 0);5;108;1;stop;1.0;True;False;468;[0.026749195848143552, 0.9728738853658145]
(0, 0);6;103;1;stop;1.0;True;False;447;[0.01853592569861349, 0.9808905092408993]
(0, 0);7;93;1;stop;1.0;True;False;535;[0.01322044011225118, 0.9865996590261074]
(0, 0);8;47;1;stop;1.0;True;False;514;[0.01639772178643854, 0.9832784453321531]
(0, 0);9;46;1;stop;1.0;True;False;394;[0.01639473518400627, 0.9830994857228922]
(0, 1);0;95;1;stop;1.0;True;True;492;[0.9972445805163409, 0.00040988478226108697]
(0, 1);1;38;1;stop;1.0;True;True;376;[0.9648106557875762, 0.010227262346102267]
(0, 1);2;95;1;stop;1.0;True;True;398;[0.9918759092928503, 0.00012433478765466846]
(0, 1);3;82;1;stop;1.0;True;True;485;[0.9806087800830541, 0.0016255232017098348]
(0, 1);4;62;1;stop;1.0;True;True;362;[0.9833117553655124, 0.004018570591548184]
(0, 1);5;81;1;stop;1.0;True;True;504;[0.9729134900288098, 0.002213019075360188]
(0, 1);6;90;1;stop;1.0;True;True;338;[0.9984299790860568, 0.0003621521326665833]
(0, 1);7;51;1;stop;1.0;True;True;402;[0.9966772703950042, 0.0008275191381024366]
(0, 1);8;86;1;stop;1.0;True;True;467;[0.9981155212427897, 0.0007143954711499479]
(0, 1);9;93;1;stop;1.0;True;True;360;[0.9985261260478395, 0.00022096837656142203]
(0, 2);0;188;1;stop;1.0;True;False;573;[0.01242866635148739, 0.9873313435679012]
(0, 2);1;233;1;stop;1.0;True;False;433;[0.013217515381163758, 0.9863810961130531]
(0, 2);2;114;1;stop;1.0;True;False;539;[0.012050206101656616, 0.9876532275759375]
(0, 2);3;52;1;stop;1.0;True;False;517;[0.051808624842625106, 0.947480752965716]
(0, 2);4;81;1;stop;1.0;True;False;349;[0.044660867934207225, 0.9548914786602916]
(0, 2);5;104;1;stop;1.0;True;False;444;[0.030202668403799007, 0.9694029239816002]
(0, 2);6;63;1;stop;1.0;True;False;387;[0.04883327292817117, 0.9506650984023548]
(0, 2);7;133;1;stop;1.0;True;False;338;[0.00940918862442368, 0.9902293357710581]
(0, 2);8;75;1;stop;1.0;True;False;493;[0.034090687959776385, 0.9656238409454846]
