correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[0, 1.0];267;0;1.0;True;0
1;False;(0, 0);[0, 1.0];241;0;1.0;True;1
1;False;(0, 0);[0, 1.0];238;0;1.0;True;2
1;False;(0, 0);[0, 1.0];223;0;1.0;True;3
1;False;(0, 0);[0, 1.0];249;0;1.0;True;4
1;False;(0, 0);[0, 1.0];277;0;1.0;True;5
1;False;(0, 0);[0, 1.0];272;0;1.0;True;6
1;False;(0, 0);[0, 1.0];290;0;1.0;True;7
1;False;(0, 0);[0, 1.0];245;0;1.0;True;8
1;False;(0, 0);[0, 1.0];221;0;1.0;True;9
1;True;(0, 1);[1.0, 0];419;0;1.0;True;0
1;True;(0, 1);[1.0, 0];406;0;1.0;True;1
1;True;(0, 1);[1.0, 0];508;0;1.0;True;2
1;True;(0, 1);[1.0, 0];454;0;1.0;True;3
1;True;(0, 1);[1.0, 0];398;0;1.0;True;4
1;True;(0, 1);[1.0, 0];399;0;1.0;True;5
1;True;(0, 1);[1.0, 0];473;0;1.0;True;6
1;True;(0, 1);[1.0, 0];481;0;1.0;True;7
1;True;(0, 1);[1.0, 0];470;0;1.0;True;8
1;True;(0, 1);[1.0, 0];510;0;1.0;True;9
1;True;(0, 2);[0.9999998807907247, 8.764248219443636e-08];472;0;0.9;False;0
1;True;(0, 2);[1.0, 2.289734845645553e-11];498;0;0.9;False;1
1;True;(0, 2);[1.0, 9.736200313009565e-10];479;0;0.9;False;2
1;True;(0, 2);[1.0, 2.061153622438558e-09];444;0;0.9;False;3
1;True;(0, 2);[1.0, 1.3176514270095466e-10];546;0;0.9;False;4
1;True;(0, 2);[0.9999998807907247, 6.82560337633487e-08];534;0;0.9;False;5
1;True;(0, 2);[1.0, 9.736200313009565e-10];351;0;0.9;False;6
1;True;(0, 2);[1.0, 2.7894680928689246e-10];504;0;0.9;False;7
1;False;(0, 2);[0.0009110514045295695, 0.9990889988442552];509;0;0.1;True;8
1;True;(0, 2);[1.0, 1.026187963170189e-10];471;0;0.9;False;9
1;False;(0, 3);[0, 1.0];247;0;1.0;True;0
1;False;(0, 3);[0, 1.0];252;0;1.0;True;1
1;False;(0, 3);[0, 1.0];243;0;1.0;True;2
1;False;(0, 3);[0, 1.0];262;0;1.0;True;3
1;False;(0, 3);[0, 1.0];227;0;1.0;True;4
1;False;(0, 3);[0, 1.0];269;0;1.0;True;5
1;False;(0, 3);[0, 1.0];426;0;1.0;True;6
1;False;(0, 3);[0, 1.0];252;0;1.0;True;7
1;False;(0, 3);[0, 1.0];235;0;1.0;True;8
1;False;(0, 3);[0, 1.0];231;0;1.0;True;9
1;False;(1, 0);[0, 1.0];179;0;1.0;True;0
1;False;(1, 0);[0, 1.0];168;0;1.0;True;1
1;False;(1, 0);[0, 1.0];159;0;1.0;True;2
1;False;(1, 0);[0, 1.0];148;0;1.0;True;3
1;False;(1, 0);[0, 1.0];183;0;1.0;True;4
1;False;(1, 0);[0, 1.0];180;0;1.0;True;5
1;False;(1, 0);[0, 1.0];162;0;1.0;True;6
1;False;(1, 0);[0, 1.0];133;0;1.0;True;7
1;False;(1, 0);[0, 1.0];187;0;1.0;True;8
1;False;(1, 0);[0, 1.0];152;0;1.0;True;9
1;True;(1, 1);[1.0, 0];405;0;1.0;True;0
1;True;(1, 1);[1.0, 5.675685232632723e-14];199;0;1.0;True;1
1;True;(1, 1);[1.0, 1.2664165549094176e-14];175;0;1.0;True;2
1;True;(1, 1);[1.0, 2.825757287115611e-15];190;0;1.0;True;3
1;True;(1, 1);[1.0, 4.420228103641173e-14];200;0;1.0;True;4
1;True;(1, 1);[1.0, 9.862862046580453e-15];186;0;1.0;True;5
1;True;(1, 1);[1.0, 1.626111044617819e-14];194;0;1.0;True;6
1;True;(1, 1);[1.0, 4.658886145103398e-15];313;0;1.0;True;7
1;True;(1, 1);[1.0, 1.039538011670222e-15];199;0;1.0;True;8
1;True;(1, 1);[1.0, 1.713908431542013e-15];293;0;1.0;True;9
1;False;(1, 2);[0, 1.0];253;0;1.0;True;0
1;False;(1, 2);[0, 1.0];259;0;1.0;True;1
