id;iter;estimations;token_probs
0;0;0.9372107896491796;[0.8867111927441652, 0.059405948177870496]
20;5;0.9585377225508371;[0.685556735487671, 0.029654277453253428]
0;1;0.9289263227493562;[0.7071904891086108, 0.05410830476723641]
0;2;0.951863227517834;[0.6474355395292107, 0.03274152878502924]
0;3;0.9032942067038784;[0.7271924077512433, 0.07785250713287757]
0;4;0.9425067244294587;[0.8203001164183833, 0.05003862510619038]
0;5;0.84594244507642;[0.6953608606864751, 0.12663461280422816]
0;6;0.9481545289551957;[0.7084838982708063, 0.038740184549859245]
0;7;0.9086178944582997;[0.6888964958502565, 0.06928414317508784]
0;8;0.9372107966642556;[0.6630366173645266, 0.044420680101980775]
0;9;0.9504109728022221;[0.8288511728095751, 0.043246473922936686]
1;0;0.9669140225647108;[0.8493991194111484, 0.029064838695635916]
1;1;0.9073122188543453;[0.67822843489049, 0.06928539860211158]
1;2;0.9235923208558258;[0.6149728574145906, 0.05087596303114458]
1;3;0.9719924793940118;[0.8641246119027177, 0.02489935713195598]
1;4;0.9850429158218378;[0.8493202570985079, 0.012896244798676822]
1;5;0.9314625107731764;[0.5913859810808905, 0.04351448376981015]
1;6;0.9569571469772802;[0.7959807638350146, 0.03580231689045134]
1;7;0.9597620614046438;[0.8941117210698419, 0.03748555394775939]
1;8;0.9372107896491796;[0.7293596907864821, 0.04886405443896379]
1;9;0.9130583361747322;[0.718622286222027, 0.06842741011249512]
2;0;0.9196425300765949;[0.8945873295543952, 0.07816817086802118]
2;1;0.8479677506936878;[0.6351814284036844, 0.11388176165757488]
2;2;0.8311430436757312;[0.6651780243007994, 0.13513911648768467]
2;3;0.8740772286044095;[0.6394348397865662, 0.09211932826734395]
2;4;0.9207896671963206;[0.690850274537471, 0.05942994596176218]
2;5;0.9046505402422644;[0.7490090099271355, 0.07894496413068315]
2;6;0.9343951661947456;[0.7061702660601273, 0.04958093172908312]
2;7;0.822189121808099;[0.5370736734329954, 0.11615033450802638]
2;8;0.8933094174159127;[0.5065635131633404, 0.060500376780507875]
2;9;0.8902942290328344;[0.6158783029049343, 0.07589109514450584]
3;0;0.9591542805873231;[0.8266373062553682, 0.03520246549562665]
3;1;0.9492946380711992;[0.644423024583032, 0.034421033666772335]
3;2;0.938124016006303;[0.8121282960445719, 0.05356566572168929]
3;3;0.9632305307578324;[0.7174706535393532, 0.027388059540344532]
