extracted_number;id;correct_answer;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
145;0;145;101;106;1.0;True;0
145;0;145;65;477;1.0;True;1
145;0;145;47;262;1.0;True;2
145;0;145;97;239;1.0;True;3
145;0;145;80;447;1.0;True;4
145;0;145;49;253;1.0;True;5
145;0;145;48;177;1.0;True;6
145;0;145;55;672;1.0;True;7
145;0;145;51;289;1.0;True;8
145;0;145;70;188;1.0;True;9
19;1;19;11;51;1.0;True;0
19;1;19;58;20;1.0;True;1
19;1;19;10;63;1.0;True;2
19;1;19;16;61;1.0;True;3
19;1;19;38;37;1.0;True;4
19;1;19;29;33;1.0;True;5
19;1;19;68;45;1.0;True;6
19;1;19;54;34;1.0;True;7
19;1;19;52;56;1.0;True;8
19;1;19;29;45;1.0;True;9
3;2;3;178;657;1.0;True;0
3;2;3;113;403;1.0;True;1
3;2;3;102;210;1.0;True;2
3;2;3;117;312;1.0;True;3
3;2;3;113;211;1.0;True;4
3;2;3;118;439;1.0;True;5
3;2;3;156;647;1.0;True;6
3;2;3;97;387;1.0;True;7
3;2;3;83;172;1.0;True;8
3;2;3;151;515;1.0;True;9
198;3;198;70;263;1.0;True;0
198;3;198;93;189;1.0;True;1
198;3;198;71;165;1.0;True;2
198;3;198;107;165;1.0;True;3
198;3;198;112;995;1.0;True;4
198;3;198;132;361;1.0;True;5
198;3;198;121;991;1.0;True;6
198;3;198;87;613;1.0;True;7
198;3;198;81;197;1.0;True;8
198;3;198;141;259;1.0;True;9
63;4;63;63;24;1.0;True;0
63;4;63;95;51;1.0;True;1
63;4;63;72;80;1.0;True;2
63;4;63;99;55;1.0;True;3
63;4;63;77;29;1.0;True;4
63;4;63;47;34;1.0;True;5
63;4;63;97;30;1.0;True;6
63;4;63;62;14;1.0;True;7
63;4;63;54;26;1.0;True;8
63;4;63;87;52;1.0;True;9
322;5;322;91;136;1.0;True;0
322;5;322;12;160;1.0;True;1
322;5;322;73;146;1.0;True;2
322;5;322;94;176;1.0;True;3
322;5;322;91;68;1.0;True;4
322;5;322;82;130;1.0;True;5
322;5;322;105;134;1.0;True;6
322;5;322;81;104;1.0;True;7
322;5;322;93;101;1.0;True;8
322;5;322;92;106;1.0;True;9
30;6;30;71;61;1.0;True;0
30;6;30;51;106;1.0;True;1
30;6;30;50;73;1.0;True;2
30;6;30;105;41;1.0;True;3
30;6;30;58;27;1.0;True;4
30;6;30;24;70;1.0;True;5
30;6;30;93;21;1.0;True;6
30;6;30;95;65;1.0;True;7
30;6;30;81;17;1.0;True;8
30;6;30;88;75;1.0;True;9
192;7;192;86;141;1.0;True;0
192;7;192;97;80;1.0;True;1
192;7;192;223;163;1.0;True;2
192;7;192;159;70;1.0;True;3
192;7;192;157;113;1.0;True;4
192;7;192;204;180;1.0;True;5
192;7;192;109;58;1.0;True;6
192;7;192;119;266;1.0;True;7
192;7;192;145;188;1.0;True;8
192;7;192;89;127;1.0;True;9
26;8;26;62;83;1.0;True;0
26;8;26;71;82;1.0;True;1
26;8;26;83;60;1.0;True;2
26;8;26;98;70;1.0;True;3
26;8;26;168;119;1.0;True;4
26;8;26;38;159;1.0;True;5
26;8;26;101;107;1.0;True;6
26;8;26;87;130;1.0;True;7
26;8;26;80;106;1.0;True;8
26;8;26;62;98;1.0;True;9
17;9;17;164;157;1.0;True;0
17;9;17;177;109;1.0;True;1
17;9;17;101;200;1.0;True;2
17;9;17;129;33;1.0;True;3
17;9;17;127;111;1.0;True;4
17;9;17;113;33;1.0;True;5
17;9;17;159;159;1.0;True;6
17;9;17;181;163;1.0;True;7
17;9;17;105;65;1.0;True;8
17;9;17;143;139;1.0;True;9
1;10;1;75;89;1.0;True;0
1;10;1;118;136;1.0;True;1
1;10;1;105;124;1.0;True;2
1;10;1;78;85;1.0;True;3
1;10;1;86;74;1.0;True;4
1;10;1;85;84;1.0;True;5
1;10;1;102;84;1.0;True;6
1;10;1;205;205;1.0;True;7
1;10;1;161;74;1.0;True;8
1;10;1;123;55;1.0;True;9
20;11;20;165;151;1.0;True;0
20;11;20;254;110;1.0;True;1
20;11;20;276;139;1.0;True;2
20;11;20;305;360;1.0;True;3
20;11;20;220;178;1.0;True;4
20;11;20;173;152;1.0;True;5
20;11;20;227;130;1.0;True;6
20;11;20;177;131;1.0;True;7
20;11;20;218;160;1.0;True;8
20;11;20;207;206;1.0;True;9
4;12;4;149;47;1.0;True;0
4;12;4;26;37;1.0;True;1
4;12;4;164;68;1.0;True;2
4;12;4;129;24;1.0;True;3
4;12;4;106;55;1.0;True;4
4;12;4;78;52;1.0;True;5
4;12;4;163;97;1.0;True;6
4;12;4;84;81;1.0;True;7
4;12;4;105;29;1.0;True;8
4;12;4;160;116;1.0;True;9
2;13;2;73;178;1.0;True;0
2;13;2;63;60;1.0;True;1
2;13;2;1;72;1.0;True;2
2;13;2;70;68;1.0;True;3
2;13;2;63;95;1.0;True;4
2;13;2;59;69;1.0;True;5
2;13;2;106;118;1.0;True;6
2;13;2;65;67;1.0;True;7
2;13;2;44;90;1.0;True;8
2;13;2;94;114;1.0;True;9
7;14;7;119;40;1.0;True;0
7;14;7;73;60;1.0;True;1
7;14;7;115;52;1.0;True;2
7;14;7;61;45;1.0;True;3
7;14;7;113;72;1.0;True;4
7;14;7;188;141;1.0;True;5
7;14;7;217;105;1.0;True;6
7;14;7;100;68;1.0;True;7
7;14;7;137;71;1.0;True;8
7;14;7;105;32;1.0;True;9
70;15;70;149;96;1.0;True;0
70;15;70;212;217;1.0;True;1
70;15;70;137;58;1.0;True;2
70;15;70;143;143;1.0;True;3
70;15;70;101;63;1.0;True;4
70;15;70;138;154;1.0;True;5
70;15;70;129;157;1.0;True;6
70;15;70;151;468;1.0;True;7
70;15;70;114;85;1.0;True;8
70;15;70;111;216;1.0;True;9
345;16;345;77;89;1.0;True;0
345;16;345;89;94;1.0;True;1
345;16;345;64;63;1.0;True;2
345;16;345;67;58;1.0;True;3
345;16;345;77;154;1.0;True;4
345;16;345;73;55;1.0;True;5
345;16;345;113;59;1.0;True;6
345;16;345;45;56;1.0;True;7
345;16;345;107;39;1.0;True;8
345;16;345;78;118;1.0;True;9
;17;266;129;2925;0.0;False;0
;17;266;194;1916;0.0;False;1
47;17;266;281;909;0.1;False;2
;17;266;270;1845;0.0;False;3
;17;266;233;1950;0.0;False;4
;17;266;522;2714;0.0;False;5
;17;266;376;1752;0.0;False;6
;17;266;0;4093;0.0;False;7
;17;266;135;2148;0.0;False;8
;17;266;131;1635;0.0;False;9
54;18;54;106;717;1.0;True;0
54;18;54;199;393;1.0;True;1
54;18;54;67;794;1.0;True;2
54;18;54;188;256;1.0;True;3
54;18;54;157;632;1.0;True;4
54;18;54;172;653;1.0;True;5
